Region;Zone;Woreda;Pcode;Belg_2010;Kiremt_2010;Kiremt_2011;Kiremt_2012;Belg_2013;Kiremt_2013;Belg_2014;Kiremt_2014;Kiremt_2015;Belg_2016;Kiremt_2016;Kiremt_2017;Belg_2018;Frequency;Affected_pop
Somali;Korahe;Debeweyin;ET050504;;;;;;1;;;; 3,602 ; 1,779 ;; 1 ;4; 1,346 
SNNPR;Hadiya;Shashogo;ET070204;;;; 1 ;;;;;1; 2,600 ; 10,861 ;;;4; 3,366 
SNNPR;Hadiya;Limu;ET070203;;;;;;;;;1;;;;;1; 1 
Amahra;North Gonder;East Belesa;ET030117;;;;;;;;;;;;;;0;
Amahra;North Shewa(R3);Antsokiya;ET030507;;; 16 ; 22,188 ;;;;;1;;1;;;4; 5,552 
Amahra;North Shewa(R3);Kewet;ET030512;;;; 1,290 ;;;;;1; 1 ; 29,472 ;;;4; 7,691 
Tigray;Southern;Alaje;ET010404;;;;;;;;;1;;1; 1 ;;3; 1 
Tigray;Southern;Endamehoni;ET010405;;3538;;;;;;;1;;1;;;3; 1,180 
Amahra;North Shewa(R3);Ankober;ET030515;;;;;;;;;;; 540 ; 1 ;;2; 271 
Somali;Korahe;Shilabo;ET050503; 3,685 ;;;;;;;;; 132 ; 491 ;;;3; 1,436 
Oromia;Borena;Moyale;ET041210; 2,994 ;;;;;;;;; 1 ; 1,530 ;; 1 ;4; 1,132 
Amahra;North Shewa(R3);Tarema Ber;ET030510;;;;;;;;;1;;1;;;2; 1 
Tigray;Western;Kafta Humera;ET010501;;3500;;;;;;;1;;1;;;3; 1,167 
SNNPR;KT;Kacha Bira;ET070304;;;;;;;;;1; 1,185 ;1;;;3; 396 
Beneshangul Gumu;Asosa;Assosa;ET060303;;;;;;;;;1;;1;;;2; 1 
Afar;Awsi (Zone 1);Afambo;ET020104;;;;;;;;;1;;1;;;2; 1 
Afar;Awsi (Zone 1);Chifra;ET020106;;;;;;;;;1;;1;;;2; 1 
Oromia;Borena;Abaya;ET041213;;;;;;;;;1;;1;;;2; 1 
Oromia;Borena;Dehas;ET041220; 25 ;;;;;;;;;; 100 ;;;2; 63 
Oromia;Borena;Dillo;ET041219;;;;;;;;;; 950 ; 190 ;;;2; 570 
Oromia;Borena;Yabelo;ET041207;;;;;;;;;;; 3,060 ;; 1 ;2; 1,531 
Oromia;Borena;Dugda Dawa;ET041215;;;;;;;;;;; 1,250 ;;;1; 1,250 
Oromia;East Harareg;Bedeno;ET041013; 465 ;;;;;;;;;; 8,755 ; 1 ;;3; 3,074 
Oromia;East Harareg;Deder;ET041011; 4,323 ;;;;;;;;;; 13,250 ; 1 ;;3; 5,858 
Tigray;Central;Adwa;ET010204;;;;;;;;;1;;1;;;2; 1 
Tigray;Central;Ahferom;ET010202;;;;;;;;;1;;1;;;2; 1 
Tigray;Central;Degua Temben;ET010604;;;;;;;;;1;;1;;;2; 1 
Tigray;Central;Mereb Leke;ET010201;;;;;;;;;1;;1;;;2; 1 
Tigray;Central;Tahtay Maychew;ET010206;;;;;;;;;1;;1;;;2; 1 
Tigray;Central;Tanqua Abergele;ET010210;;;;;;;;;1;;1;;;2; 1 
Tigray;Central;Werei Leke;ET010203;;;;;;;;;1;;1;;;2; 1 
Amahra;North Shewa(R3);Ensaro;ET030503;;;;;;;;;;;; 1 ;;1; 1 
Oromia;East Harareg;Jarso;ET040108; 138 ;;;;;;;;;; 7,180 ; 1 ;;3; 2,440 
Oromia;East Harareg;Babile;ET041004;;;;;;;;;1;;1;;;2; 1 
