Region;Zone;Woreda;Pcode;Belg_2010;Kiremt_2010;Kiremt_2011;Kiremt_2012;Belg_2013;Kiremt_2013;Belg_2014;Kiremt_2014;Kiremt_2015;Belg_2016;Kiremt_2016;Kiremt_2017;Belg_2018;Frequency;Affected_pop
Somali;Fafan;Gursum;ET050202;;;;;;;;;;;;; 715 ;1; 715 
SNNPR;Gamo Gofa;Denibu Gofa;ET071002;;1;;;;;;;;;;; 17 ;2; 9 
Oromia;East Shewa;Bora;ET040710;;2,400;;;;;;;1; 1 ;1; 1 ; 245 ;6; 442 
SNNPR;Selti;Alicho weriro;ET072001;;;;;;;;;;;;;1268;; 1,268 
SNNPR;Selti;Selti;ET072002;;;;;;;;;1; 4,000 ; 8,497 ;;1630;4; 3,532 
SNNPR;Gurage;Meskan;ET070106;;;;;;;;;1;; 4,140 ;;2998;3; 2,380 
Oromia;Borena;Arero;ET041208;;;;;;;;;;; 835 ;; 583 ;2; 709 
Oromia;Arsi;Sude;ET040808;;;;;;;;;;;;; 633 ;1; 633 
Somali;Nogob;Gerbo;ET050403;;;;;;;;;;;;; 638 ;1; 638 
Somali;Afder;Dolobay;ET050808;;; 1 ; 1 ;;; 8,250 ;1;1;;1;; 776 ;7; 1,290 
Oromia;West Harerge;Doba;ET040902;;;;;;;;;;;;; 77 ;1; 77 
Somali;Afder;Hargele;ET0508061;;;; 1 ;; 1 ; 8,965 ;1;1;;1;; 8,899 ;7; 2,553 
Oromia;West Harerge;Mesela;ET040904; 35,317 ;;;;;;;;;;;;88;2; 17,703 
Oromia;East Harareg;Girawa;ET041016;;;;;;;;;;; 18,085 ;;1023;2; 9,554 
Tigray;Eastern;Atsbi Wenberta;ET010307;;;;;;;;;;;; 1 ; 1,320 ;2; 661 
Somali;Afder;Chereti/Weyib;ET050802;;; 667 ; 1 ;;;;;1;;1;; 1,529 ;5; 440 
Somali;Afder;Raso;ET050884;;;;;;;;;;;;; 1,617 ;1; 1,617 
Amahra;North Shewa(R3);Eferatana Gidem;ET030508;;;;;;;;;1;;1;;159.5;3; 54 
Amahra;West Gojam;Jabi Tehnan;ET030709;;;;;;;;;;;;; 11 ;; 11 
Tigray;Eastern;Erob;ET010302;;;;;;;;;;;;;198;; 198 
SNNPR;Gamo Gofa;Ubadebretsehay;ET071011; 550 ;;;;;;;;;;;; 17 ;2; 283 
Amahra;North Wollo;kobo;ET030302;;37796; 1 ; 5,014 ;;;;;1;;1;; 220 ;6; 7,172 
Somali;Afder;West Imi;ET050805;;; 1 ;;;; 11,616 ;1;1;;1;; 248 ;6; 1,978 
Somali;Liben;Dolo Odo;ET050902;;;;;;; 24,563 ;1;1;;1;; 2,475 ;5; 5,408 
Oromia;Arsi;Tena;ET040813;;;;;;;;;;;;; 248 ;1; 248 
Oromia;Borena;Miyo;ET041216; 600 ;;;;;;;;; 900 ;;; 297 ;3; 599 
Oromia;Arsi;Gololcha Arsi;ET040803;;;;;;;;;; 15,675 ; 24,255 ; 1 ; 28 ;4; 9,990 
Oromia;Borena;Dire;ET041211;;;;;;;;;; 2,275 ; 750 ;; 39 ;3; 1,021 
Somali;Nogob;Dihun;ET050406;;;;;;;;;;;;; 435 ;1; 435 
Oromia;Arsi;Chole;ET040809;;;;;;;;;1; 2,228 ; 2,025 ;; 473 ;4; 1,182 
Oromia;Arsi;Munessa;ET040817;;;;;;;;;;;;; 44 ;1; 44 
Gambela;Agnuak;Gambela Zuria;ET120202;; 1,992 ; 3,683 ; 1,197 ;; -   ;; 3,400 ;1;; 1,033 ; 1 ;;8; 1,413 
Gambela;Agnuak;Itang;ET120207;; 12,353 ; 5,845 ; 4,624 ;; -   ;; 6,214 ;1;; 4,030 ; 1 ;;8; 4,134 
Gambela;Agnuak;Jore;ET120204;; 2,800 ; 4,760 ; 2,827 ;; -   ;; 6,232 ;1;; 4,860 ; 1 ;;8; 2,685 
Gambela;Nuer;Jikawo;ET120103;; 978 ; -   ; -   ;; -   ;; 7,922 ;1;; 6,509 ; 1 ;;8; 1,926 
Gambela;Nuer;Lare;ET120102;;9,456; 7,395 ; 2,620 ;; 4,725 ;; 2,850 ;1;; 5,100 ; 1 ;;8; 4,019 
Somali;Afder;Afder;ET050806;;; 1 ;;;;;;1;;1;;;3; 1 
Gambela;Agnuak;Gog;ET120203;; 6,900 ; 2,728 ; 2,000 ;; -   ;; 4,861 ;1;; 2,010 ;;;7; 2,643 
Gambela;Gambella Administrative;Gambella Town;ET120106;;5760; 4,515 ; 1,909 ;; 1,860 ;; 4,627 ;;; -   ; 1 ;;7; 2,667 
Somali;Afder;Serer/Elkere;ET050804;;;;;;;;;1;;1;;;2; 1 
Gambela;Nuer;Akobo;ET120101;; 2,480 ; -   ; 1,440 ;; -   ;; 6,950 ;1;; 415 ;;;7; 1,612 
Gambela;Nuer;Wantawo;ET120104;; 1,800 ; 468 ; 1,440 ;;;; 3,422 ;1359;; 3,849 ; 1 ;;7; 1,763 
Somali;Afder;Bare;ET050807;;; 1 ;;;;;;;;;;;1; 1 
Gambela;Agnuak;Abobo;ET120201;;1; -   ; -   ;; -   ;; -   ;;; -   ;;;6; 0 
Gambela;Agnuak;Dima;ET120205;; 840 ; -   ; 500 ;; -   ;; - ;1;;20,136;;;6; 3,580 
Afar;Gabi (Zone 3);Amibara;ET020301;; 2,950 ;;;;; 33,869 ;1;1;; 17,915 ; 1,250 ;;6; 9,331 
Afar;Gabi (Zone 3);Awash fentale;ET020302;; 900 ;;;;; 1,650 ;1;1;; 1,825 ; 1,815 ;;6; 1,032 
Afar;Gabi (Zone 3);Bure Mudaytu;ET020305;; 2,605 ;;;;; 14,487 ;1;1;; 9,470 ; 3,150 ;;6; 4,952 
Amahra;East Gojam;Goncha Siso Enese;ET030603;;;; 2,636 ;;;;;;; 13 ;;;2; 1,325 
Gambela;Nuer;Makuey;ET120105;; 902 ; - ; 8,164 ;; -   ;; 1,628 ;;; -   ; 1 ;;6; 1,783 
SNNPR;Alaba;Alaba SP Woreda;ET072101;;;;;;;;;1; 1 ; 18,000 ;;;3; 6,001 
Somali;Dawa;Hudet;ET050904;;;;;;;;;;;;; 1,271 ;1; 1,271 
Somali;Dawa;Qadadumo;ET059998;;;;;;;;;;;;; 3,207 ;1; 3,207 
Amahra;East Gojam;Aneded;ET030617;;;;;;;;;;;; 1 ;;1; 1 
Amahra;East Gojam;Enarj Enawga;ET030605;;;; 1,410 ;;;;;;;;;;1; 1,410 
