name;pcode;pcode_parent;Land area;Violent incidents last year;% persons with disability;% Access to safe drinking water;Nr. of educational facilities per 10,000 people;% Access to electricity;Average elevation;% employed;Drought exposure;Earthquake exposure;Flood exposure;Nr. of health facilities per 10,000 people;% Access improved sanitation;% Literacy;% having mosquito nets;% of orphans under 18;Population density;Population;Poverty incidence;% permanent roof type;% Subsistence farming;Travel time to nearest city;% permanent wall type;% with internet access;% with mobile access;# of displaced persons;# of displaced / local population;pcode_level2;Violent incidents last year (0-10);Drought exposure (0-10);Earthquake exposure (0-10);Flood exposure (0-10);Hazards exposure;% persons with disability (0-10);% employed (0-10);% Literacy (0-10);% having mosquito nets (0-10);% of orphans under 18 (0-10);Poverty incidence (0-10);% permanent roof type (0-10);% Subsistence farming (0-10);% permanent wall type (0-10);Vulnerability;% Access to safe drinking water (0-10);Nr. of educational facilities per 10,000 people (0-10);% Access to electricity (0-10);Nr. of health facilities per 10,000 people (0-10);% Access improved sanitation (0-10);Travel time to nearest city (0-10);% with internet access (0-10);% with mobile access (0-10);Lack of Coping Capacity;Risk score
Jinja;21UGA005005;21UGA005;7.242.995;77.676;0.1197;0.954;64.316;0.2931;11.444.146;0.1832;0.5265;0;0.0008;10.564;0.2607;0.7898;0.9151;0.0689;8.887.175;6.436.979.338;0.4719;0.9841;0.4452;35.601;0.7522;0.118;0.482;null;null;21UGA005005;86.501;8.113;0;21.548;59.056;37.171;86.282;37.094;38.044;24.684;40.111;0.1295;44.877;20.392;4.114;0.3377;75.389;66.093;69.627;35.967;39.287;73.429;41.414;54.746;52.119
Kapchorwa;21UGA006004;21UGA006;3.578.541;0;0.1605;0.7652;76.854;0.0865;19.958.014;0.769;0.2504;0;0;17.467;0.1684;0.6927;0.9619;0.0614;3.199.717;1.145.032.684;0.7215;0.8199;0.7278;1.956.898;0.0939;0.072;0.3;null;null;21UGA006004;0;56.704;0;0;18.165;57.073;21.788;6.065;12.896;17.396;73.022;19.469;74.153;92.487;55.146;26.645;69.835;91.292;39.879;61.924;7.896;86.571;67.677;69.914;51.269
Butaleja;21UGA003003;21UGA003;6.563.151;0;0.1743;0.9198;47.138;0.0508;10.856.244;0.8661;0.2387;0;0.0002;0.6569;0.15;0.5864;0.968;0.0464;3.943.475;2.588.161.925;0.62;0.6956;0.8995;766.344;0.5792;0.026;0.23;null;null;21UGA003003;0;55.133;0;0.6684;18.942;63.805;11.098;86.439;0.9618;0.2818;59.639;33.226;9.194;39.339;53.422;0.7592;82.999;95.646;86.843;67.098;57.135;99.714;77.778;79.545;5.595
Amuria;21UGA013001;21UGA013;1.381.769;0;0.1755;0.8913;49.349;0.0815;10.981.905;0.8673;0.177;0;0.0003;13.796;0.1301;0.631;0.952;0.0796;1.363.857;1.884.535.507;0.6732;0.1481;0.8468;1.297.053;0.1227;0.045;0.199;null;null;21UGA013001;0;45.324;0;0.9618;15.826;6.439;10.966;75.619;18.216;35.083;66.653;93.824;86.481;89.333;68.296;11.104;82.019;91.901;55.699;72.694;69.386;94.286;82.251;75.812;58.695
Kisoro;21UGA009003;21UGA009;7.337.791;0;0.1248;0.5541;5.691;0.0665;19.831.529;0.8005;0.183;0;0;10.476;0.1539;0.5963;0.9614;0.0733;4.813.306;3.531.903.042;0.686;0.9897;0.8755;3.036.945;0.27;0.045;0.327;null;null;21UGA009003;0;46.417;0;0;14.052;39.659;1.832;84.037;13.165;2.896;68.341;0.0675;89.454;73.201;54.902;52.662;7.867;93.731;70.006;66.001;89.192;94.286;63.781;79.232;55.292
Sheema;21UGA002010;21UGA002;6.993.077;0;0.1143;0.5681;81.675;0.1389;15.300.921;0.2988;0.2131;0;0;10.295;0.1716;0.7912;0.9644;0.0889;4.166.973;2.913.996.816;0.5768;0.9742;0.7966;1.733.256;0.2778;0.064;0.433;null;null;21UGA002010;0;5.141;0;0;15.982;34.537;73.555;36.754;11.553;44.121;53.943;0.2391;8.128;72.347;50.998;50.937;67.699;84.901;70.786;61.024;76.135;88.857;48.485;7.097;49.882
Yumbe;21UGA015008;21UGA015;24.965.988;23.696;0.0721;0.6736;40.046;0.0546;8.644.727;0.8686;0.1427;0;0.0001;0.5687;0.1707;0.5436;0.9714;0.1164;1.690.362;4.220.155.762;0.757;0.1313;0.912;3.966.976;0.2734;0.073;0.3;286859;0.679735574434842;21UGA015008;75.039;38.269;0;0.3494;36.243;13.951;10.822;96.822;0.7792;70.845;77.703;95.683;93.235;72.829;72.204;37.934;86.141;95.182;90.644;61.277;95.411;86.286;67.677;82.094;67.225
Bukomansimbi;21UGA012001;21UGA012;5.998.925;43.606;0.1169;0.4496;64.972;0.1503;12.221.106;0.8231;0.1169;0;0.0003;0.6105;0.2475;0.7838;0.915;0.0893;3.822.817;2.293.279.086;0.6013;0.9727;0.8119;866.425;0.8072;0.039;0.416;null;null;21UGA012001;80.927;31.746;0;0.9618;39.017;35.805;15.832;38.549;38.098;44.509;57.173;0.2557;82.865;14.369;41.081;65.541;75.098;8.351;88.843;39.679;59.993;9.6;50.938;74.331;5.406
Kasese;21UGA014005;21UGA014;33.874.165;0;0.0919;0.7114;61.377;0.1557;14.830.371;0.5456;0.2856;0.0001;0.0001;0.9904;0.2015;0.6768;0.9571;0.0496;2.414.502;8.178.924.809;0.6623;0.9374;0.738;2.592.192;0.4746;0.058;0.379;null;null;21UGA014005;0;61.023;0.4478;0.3494;21.715;2.361;46.383;64.508;15.476;0.5928;65.216;0.6464;7.521;50.794;4.4;33.276;76.691;82.852;72.471;52.615;85.506;90.571;56.277;72.505;49.699
Rubirizi;21UGA002009;21UGA002;13.718.187;0;0.1375;0.5229;90.963;0.0982;10.343.802;0.9669;0.197;0;0.0002;0.9968;0.0922;0.685;0.9734;0.0885;1.170.014;1.605.047.645;0.737;0.9494;0.8493;3.070.974;0.4029;0.064;0.358;null;null;21UGA002009;0;48.834;0;0.6684;16.451;45.854;0;62.518;0.6717;43.732;75.066;0.5136;8.674;58.646;49.877;56.507;63.585;89.865;72.196;83.352;89.451;88.857;59.307;7.788;53.359
Lwengo;21UGA012007;21UGA012;10.245.871;25.282;0.1178;0.3776;82.167;0.1764;12.778.631;0.8359;0.1698;0;0;0.6573;0.2242;0.9094;0.9356;0.0894;3.860.454;3.955.370.791;0.5698;0.9715;0.7631;90.698;0.7604;0.045;0.426;null;null;21UGA012007;75.665;43.963;0;0;37.485;36.244;14.423;0.8079;27.028;44.606;5.302;0.269;7.781;19.494;35.566;74.415;67.481;80.327;86.826;46.232;61.058;94.286;49.495;7.347;51.732
Adjumani;21UGA015001;21UGA015;31.138.387;6.715;0.108;0.9397;2.686;0.0857;8.156.874;0.6487;0.1027;0;0.002;1.343;0.1791;0.6181;0.9379;0.1315;956.508;2.978.411.809;0.7158;0.1277;0.6779;4.419.819;0.2947;0.075;0.322;257104;0.863225156721186;21UGA015001;85.095;27.516;0;40.274;46.789;31.463;35.032;78.748;25.793;8.552;72.271;96.082;68.984;70.496;68.876;0.5139;91.982;91.389;57.276;58.915;97.928;85.714;64.502;7.719;65.942
Buyende;21UGA005003;21UGA005;18.810.879;0;0.1558;0.8681;58.684;0.0762;10.513.856;0.8489;0.1903;0;0.0004;0.6344;0.1628;0.5471;0.9548;0.0533;1.675.877;3.152.471.468;0.7105;0.5887;0.8564;1.278.159;0.546;0.034;0.265;null;null;21UGA005003;0;47.699;0;12.335;17.336;5.478;12.991;95.973;16.711;0.9524;71.572;45.058;87.475;42.974;57.978;13.964;77.884;92.548;87.813;63.498;69.044;97.429;72.727;77.932;56.228
Kalungu;21UGA012005;21UGA012;8.375.474;37.746;0.1329;0.6126;7.738;0.1799;11.927.457;0.0917;0.3909;0;0.0004;0.9814;0.2644;0.7748;0.9243;0.0917;316.313;2.649.271.085;0.5724;0.9613;0.6534;858.609;0.7571;0.039;0.428;null;null;21UGA012005;79.534;71.337;0;12.335;50.179;4.361;96.356;40.733;3.31;46.842;53.362;0.3818;66.446;19.855;51.952;45.452;69.602;7.99;72.859;34.927;59.782;9.6;49.206;68.013;57.353
Ntungamo;21UGA002008;21UGA002;20.410.955;0;0.107;0.5712;75.427;0.1183;14.964.827;0.8187;0.1698;0;0.0001;0.6124;0.1531;0.7237;0.9681;0.0889;303.989;6.204.704.534;0.6283;0.9481;0.8062;1.845.841;0.1838;0.055;0.38;null;null;21UGA002008;0;43.963;0;0.3494;13.924;30.976;16.316;5.313;0.9565;44.121;60.733;0.5279;82.275;82.642;49.329;50.555;70.467;87.413;88.761;66.226;7.76;91.429;56.133;7.637;51.805
Mbarara;21UGA002006;21UGA002;17.955.826;0;0.094;0.5734;9.242;0.2794;14.846.455;0.7824;0.1995;0;0.001;0.9987;0.1751;0.8068;0.9425;0.0864;3.290.198;5.907.824.639;0.5498;0.9749;0.5907;1.320.995;0.4269;0.115;0.494;null;null;21UGA002006;0;49.247;0;2.541;21.164;24.634;20.313;32.969;23.321;41.691;50.382;0.2313;5.995;56.018;36.736;50.283;62.939;67.764;72.114;60.039;69.812;74.286;39.683;63.261;42.705
Nakapiripirit;21UGA008007;21UGA008;23.770.133;0;0.0742;0.736;27.754;0.0258;12.827.913;0.8934;0.1752;0;0.0001;13.877;0.0613;0.8176;0.9183;0.0991;363.799;864.755.347;0.8747;0.1414;0.8434;3.313.699;0.026;0.027;0.098;null;null;21UGA008007;0;44.989;0;0.3494;14.298;14.976;0.8092;30.349;36.325;54.033;93.223;94.566;86.129;99.923;70.778;30.244;91.586;98.695;5.535;92.042;91.222;99.429;96.825;88.464;66.559
Gulu;21UGA001003;21UGA001;19.359.113;0;0.1108;0.8363;65.658;0.2243;9.808.945;0.3379;0.0761;0;0.0001;15.837;0.3102;0.7549;0.9378;0.1268;1.565.583;3.030.831.981;0.65;0.3952;0.4766;722.831;0.3504;0.191;0.436;null;null;21UGA001003;0;17.747;0;0.3494;0.5577;32.829;6.925;4.556;25.846;80.952;63.594;66.475;4.813;64.396;57.854;17.883;74.795;74.485;46.904;22.047;55.774;52.571;48.052;52.211;41.934
Kibaale;21UGA004005;21UGA004;11.608.033;0;0.1102;0.5124;11.595;0.1487;12.482.991;0.9218;0.0881;0;0;0.6243;0.1299;0.7325;0.9593;0.066;965.863;1.121.177.272;0.6353;0.8689;0.8356;2.509.647;0.2595;0.028;0.307;null;null;21UGA004005;0;22.515;0;0;0.6115;32.537;0.4965;50.995;14.293;21.866;61.656;14.045;85.321;74.351;46.466;57.801;52.516;83.705;88.248;7.275;84.752;99.143;66.667;79.285;51.109
Kikuube;21UGA004006;21UGA004;29.878.853;0;0.1148;0.5942;5.147;0.1096;9.422.234;0.5902;0.0745;0;0.0001;10.558;0.1218;0.6522;0.8954;0.0709;760.795;2.273.167.459;0.6856;0.6499;0.7747;2.790.793;0.23;null;null;null;null;21UGA004006;0;17.056;0;0.3494;0.5382;3.478;41.473;70.475;4.863;26.628;68.289;38.284;79.012;77.582;57.231;4.772;8.108;88.474;69.653;75.028;87.224;null;null;77.129;53.263
Manafwa;21UGA006006;21UGA006;2.113.921;0;0.2121;0.9184;52.253;0.0612;12.642.104;0.7966;0.4821;0;0;0.3976;0.2033;0.6592;0.9771;0.0581;832.887;1.760.658.322;0.5506;0.8674;0.8724;711.083;0.2387;0.043;0.285;null;null;21UGA006006;0;78.232;0;0;29.161;82.244;18.749;68.777;0.4729;14.189;50.488;14.211;89.133;76.629;55.386;0.7764;80.733;94.377;98.018;52.109;55.393;94.857;69.841;77.798;57.728
Mpigi;21UGA012010;21UGA012;15.252.749;0;0.0978;0.6403;108.005;0.2232;11.668.217;0.0873;0.2881;0;0.001;10.208;0.2887;0.7965;0.8636;0.0873;1.991.049;3.036.897.577;0.5215;0.9756;0.6021;112.626;0.7766;0.066;0.495;null;null;21UGA012010;0;61.309;0;2.541;25.912;26.488;9.684;35.468;65.717;42.566;46.651;0.2236;61.131;1.772;51.636;42.038;56.035;74.619;71.161;28.093;66.099;88.286;39.538;61.997;4.821
Dokolo;21UGA010004;21UGA010;10.889.225;0;0.1825;0.8542;53.687;0.0682;1.068.068;0.9342;0.1435;0;0.0004;0.6584;0.0992;0.6789;0.9802;0.0947;1.813.194;1.974.427.621;0.577;0.3258;0.9019;1.288.797;0.2306;0.04;0.216;null;null;21UGA010004;0;38.452;0;12.335;1.409;67.805;0.36;63.998;0.3063;49.757;53.969;74.156;92.189;77.516;61.114;15.677;80.098;93.524;86.779;81.384;69.237;95.714;79.798;80.554;58.189
Mitooma;21UGA002007;21UGA002;6.800.199;0;0.1481;0.4894;95.527;0.104;14.234.868;0.3686;0.0884;0;0;0.9062;0.1491;0.7443;0.9773;0.0928;3.894.688;2.648.464.624;0.6508;0.946;0.8154;2.919.951;0.2547;0.062;0.373;null;null;21UGA002007;0;22.626;0;0;0.6148;51.024;6.587;48.132;0.4621;47.911;6.37;0.5512;83.228;74.877;54.653;60.636;61.563;89.157;7.61;67.351;88.277;89.429;57.143;76.119;51.922
Kayunga;21UGA011004;21UGA011;17.049.534;0;0.1113;0.8163;43.985;0.1417;10.667.965;0.8006;0.2801;0;0.0013;0.5755;0.229;0.6787;0.9156;0.0734;2.853.601;486.525.624;0.5708;0.8461;0.7511;1.228.518;0.6026;0.047;0.368;null;null;21UGA011004;0;60.384;0;30.534;26.828;33.073;18.309;64.047;37.775;29.057;53.151;16.569;76.567;36.776;4.367;20.348;84.396;84.559;90.351;44.882;68.122;93.714;57.864;74.095;51.634
Lyantonde;21UGA012008;21UGA012;8.655.549;0;0.1168;0.1842;108.356;0.1788;12.934.724;0.8426;0.2097;0;0;2.663;0.2077;0.7163;0.9463;0.0829;1.258.153;1.089.000.904;0.6248;0.8071;0.7577;1.458.048;0.5515;0.067;0.427;null;null;21UGA012008;0;50.883;0;0;15.773;35.756;13.685;54.925;21.279;3.829;60.272;20.885;77.251;42.372;43.684;9.825;5.588;80.034;0.0392;50.872;7.211;8.8;49.351;69.977;46.926
Pallisa;21UGA003006;21UGA003;7.723.528;0;0.139;0.9059;4.79;0.0641;10.588.032;0.7917;0.2288;0;0.0006;0.6362;0.1745;0.7103;0.9611;0.0494;3.459.858;2.672.230.068;0.6961;0.5643;0.8603;985.273;0.4822;0.041;0.223;null;null;21UGA003006;0;53.743;0;1.723;2.081;46.585;19.289;5.638;13.326;0.5734;69.673;47.759;87.879;49.962;49.679;0.9305;82.661;94.024;87.735;60.208;62.985;95.429;78.788;78.023;5.428
Ssembabule;21UGA012012;21UGA012;23.402.256;0;0.1221;0.1898;96.208;0.1269;12.423.568;0.9605;0.2675;0;0.0008;0.7427;0.1711;0.6731;0.9359;0.0845;1.265.839;2.962.347.778;0.6435;0.8725;0.8306;1.646.002;0.6704;0.033;0.389;null;null;21UGA012012;0;58.873;0;21.548;23.933;38.341;0.0705;65.405;26.867;39.845;62.737;13.647;84.803;29.351;45.556;9.756;61.261;86.364;83.146;61.164;74.933;97.714;54.834;81.222;55.626
Bududa;21UGA006001;21UGA006;3.180.168;0;0.143;0.7028;71.583;0.0442;22.007.882;0.7137;0.2194;0;0;0.7405;0.2621;0.7061;0.9717;0.0798;6.369.592;2.025.637.309;0.6071;0.9336;0.8822;2.440.199;0.0848;0.077;0.346;null;null;21UGA006001;0;52.366;0;0;16.365;48.537;27.876;57.399;0.763;35.277;57.938;0.6884;90.148;93.484;56.258;34.336;7.217;96.451;83.241;35.574;84.099;85.143;61.039;74.481;53.585
Butambala;21UGA012002;21UGA012;4.054.447;0;0.0608;0.7711;122.632;0.1869;11.968.146;0.7125;0.289;0;0.0003;16.304;0.3122;0.8185;0.8993;0.0811;3.479.438;1.410.719.546;0.5586;0.9837;0.7434;975.115;0.8264;0.053;0.456;null;null;21UGA012002;0;61.411;0;0.9618;22.278;0.8439;28.008;30.131;46.534;3.654;51.543;0.1339;75.769;12.266;36.009;25.918;49.555;79.046;44.891;21.485;62.744;9.2;45.166;58.264;40.466
Agago;21UGA001001;21UGA001;35.259.788;0;0.1936;0.7618;50.949;0.0633;10.924.754;0.8585;0.0745;0;0.0002;11.988;0.2121;0.5746;0.9637;0.1152;851.679;3.003.001.164;0.738;0.1593;0.9076;3.121.996;0.1367;0.061;0.185;null;null;21UGA001001;0;17.056;0;0.6684;0.6174;7.322;11.934;89.301;11.929;69.679;75.198;92.584;92.779;8.78;75.345;27.064;81.311;94.121;63.491;49.634;89.835;89.714;84.271;77.783;6.11
Apac;21UGA010003;21UGA010;1.818.524;0;0.2302;0.9076;62.481;0.072;10.585.773;0.8236;0.0754;0;0.0023;1.136;0.1533;0.7288;0.965;0.1009;96.81;1.760.513.296;0.6448;0.2643;0.8786;1.635.785;0.2149;0.04;0.231;null;null;21UGA010003;0;17.446;0;43.768;17.172;91.073;15.777;51.892;11.231;55.782;62.909;80.963;89.775;79.236;67.113;0.9095;76.202;9.306;66.197;6.617;74.788;95.714;77.633;75.777;5.845
Lira;21UGA010007;21UGA010;13.408.099;2.428;0.1635;0.8491;63.372;0.1496;10.774.572;0.7653;0.089;0;0;0.8013;0.2405;0.7045;0.9608;0.1128;3.071.703;4.118.568.709;0.5941;0.5401;0.6593;1.572.583;0.3886;0.101;0.326;null;null;21UGA010007;75.274;22.846;0;0;3.206;58.537;22.195;57.787;13.487;67.347;56.224;50.437;67.057;60.212;52.669;16.305;75.807;83.596;80.621;41.648;7.387;78.286;63.925;68.315;52.855
Kotido;21UGA008004;21UGA008;36.307.793;0;0.074;0.8628;10.679;0.1252;12.215.258;0.4934;0.1262;0;0.0008;0.6982;0.048;0.9334;0.9542;0.087;67.06;2.434.799.571;0.8956;0.1014;0.8032;328.148;0.0368;0.027;0.076;null;null;21UGA008004;0;34.249;0;21.548;15.096;14.878;5.213;0.2256;17.034;42.274;95.978;98.993;81.964;98.741;7.107;14.617;9.915;86.572;85.064;95.782;90.995;99.429;10;90.751;68.334
Katakwi;21UGA013005;21UGA013;24.277.944;0;0.1935;0.9538;50.032;0.0521;10.763.446;0.8318;0.1898;0;0.0006;12.379;0.1572;0.5867;0.9454;0.103;798.575;1.938.775.699;0.751;0.1268;0.8403;1.514.009;0.1116;0.049;0.197;null;null;21UGA013005;0;47.613;0;1.723;18.489;73.171;14.874;86.366;21.762;57.823;76.912;96.182;85.808;90.549;74.636;0.3402;81.717;95.487;61.806;65.073;72.987;93.143;8.254;76.218;62.078
Kiruhura;21UGA002005;21UGA002;46.021.879;0;0.1459;0.17;10.527;0.1432;1.310.094;0.1221;0.387;0;0.0004;11.098;0.1465;0.6621;0.9373;0.0886;685.281;3.153.794.431;0.6956;0.8392;0.7076;2.195.993;0.2973;0.048;0.396;null;null;21UGA002005;0;71.007;0;12.335;27.485;49.951;93.009;68.074;26.115;43.829;69.607;17.333;7.206;70.211;61.896;10;57.247;84.376;67.326;68.082;81.644;93.429;53.824;79.903;60.656
Buliisa;21UGA004001;21UGA004;20.386.571;0;0.2143;0.7148;37.633;0.0746;6.949.684;0.8507;0.229;0;0.0001;10.614;0.2059;0.5363;0.952;0.0842;508.337;1.036.325.694;0.6195;0.3749;0.7176;2.595.911;0.1227;0.072;0.344;null;null;21UGA004001;0;53.771;0;0.3494;17.686;83.317;12.793;98.593;18.216;39.553;59.573;68.722;73.096;89.333;69.058;32.857;87.209;92.743;69.412;51.378;85.539;86.571;61.328;75.352;59.126
Kamwenge;21UGA014004;21UGA014;24.067.555;0;0.1172;0.5076;7.548;0.0908;12.402.297;0.851;0.2393;0;0.0003;0.6001;0.2012;0.6901;0.96;0.0853;1.800.058;4.332.299.419;0.712;0.8556;0.1865;1.795.697;0.1839;0.035;0.322;78102;0.180278398234111;21UGA014004;0;55.215;0;0.9618;1.963;35.951;1.276;61.281;13.917;40.622;7.177;15.517;18.077;82.631;44.695;58.393;70.443;90.767;89.291;5.27;76.959;97.143;64.502;7.864;52.896
Kyankwanzi;21UGA011006;21UGA011;24.734.928;0;0.1394;0.5602;97.993;0.1108;11.158.633;0.8952;0.2127;0;0.0014;10.208;0.169;0.6693;0.9075;0.0766;792.125;1.959.315.553;0.5952;0.7444;0.785;2.834.743;0.4128;0.046;0.409;null;null;21UGA011006;0;51.349;0;32.094;2.373;4.678;0.7894;66.327;42.128;32.167;56.369;27.825;80.079;57.562;49.785;5.191;6.047;88.328;71.161;61.755;87.588;9.4;51.948;74.529;5.302
Napak;21UGA008008;21UGA008;44.753.574;0;0.0879;0.8957;17.938;0.0296;11.779.541;0.5731;0.1048;0;0.0007;0.7175;0.0498;0.805;0.9436;0.1255;373.705;1.672.464.448;0.904;0.2335;0.768;2.943.857;0.0395;0.061;0.142;null;null;21UGA008008;0;28.177;0;19.452;12.686;21.659;43.356;33.406;2.273;79.689;97.086;84.372;78.318;98.445;72.216;10.562;95.934;98.231;84.232;95.276;88.467;89.714;90.476;87.921;66.501
Buhweju;21UGA002001;21UGA002;7.483.973;0;0.1141;0.4987;83.464;0.0799;16.406.936;0.8669;0.187;0;0;0.9435;0.1144;0.7011;0.9639;0.0685;1.841.053;1.377.838.338;0.6759;0.8865;0.8946;3.164.652;0.2409;0.039;0.261;null;null;21UGA002001;0;47.125;0;0;14.319;34.439;1.101;58.612;11.822;24.295;67.009;12.097;91.433;76.388;50.925;5.949;66.907;92.097;74.493;77.109;90.151;9.6;73.304;81.164;55.234
Kiboga;21UGA011005;21UGA011;1.564.687;0;0.1467;0.5771;118.849;0.1467;11.532.348;0.7924;0.158;0;0.0015;14.149;0.1937;0.7207;0.9147;0.0929;112.927;1.766.954.198;0.5333;0.854;0.7148;2.064.888;0.5356;0.052;0.436;null;null;21UGA011005;0;41.603;0;3.359;2.08;50.341;19.212;53.857;38.259;48.008;48.207;15.695;72.806;44.113;45.464;49.827;51.231;83.949;54.178;54.809;80.211;92.286;48.052;68.096;47.696
Bugiri;21UGA005001;21UGA005;10.537.093;0;0.1407;0.7648;79.952;0.0549;11.289.189;0.8219;0.3947;0;0.0019;12.174;0.1983;0.5827;0.8218;0.056;2.884.407;3.039.327.354;0.6041;0.5994;0.869;131.868;0.4518;0.035;0.289;null;null;21UGA005001;0;71.655;0;39.031;34.134;47.415;15.964;87.336;88.178;12.148;57.542;43.874;88.781;53.291;62.482;26.695;68.462;95.146;62.689;53.515;69.771;97.143;69.264;73.656;5.916
Nebbi;21UGA015006;21UGA015;9.997.747;0;0.155;0.6797;38.892;0.0515;10.124.975;0.8508;0.1959;0;0;0.8472;0.235;0.5814;0.9734;0.0839;2.597.546;2.596.960.178;0.6708;0.1814;0.9204;2.174.532;0.1237;0.049;0.248;null;null;21UGA015006;0;4.865;0;0;14.901;5.439;12.782;87.652;0.6717;39.261;66.337;90.138;94.105;89.224;69.898;37.183;86.652;9.556;78.643;43.195;81.415;93.143;7.518;78.797;60.697
Otuke;21UGA010008;21UGA010;16.511.655;0;0.2343;0.6887;67.551;0.0448;10.613.103;0.9443;0.0995;0;0.0005;15.294;0.1359;0.6492;0.9806;0.1232;475.177;784.596.404;0.7434;0.1338;0.9074;2.722.395;0.0933;0.041;0.192;null;null;21UGA010008;0;26.483;0;14.864;10.972;93.073;0.2488;71.203;0.2848;77.454;7.591;95.407;92.759;92.553;77.576;36.073;73.956;96.378;49.244;71.063;86.647;95.429;83.261;79.155;6.359
Kumi;21UGA013006;21UGA013;10.749.261;0;0.117;0.8707;49.778;0.0757;10.839.881;0.8484;0.1269;0;0.0001;0.9587;0.1362;0.652;0.969;0.0687;2.522.997;2.712.035.253;0.6632;0.3232;0.8298;930.437;0.3057;0.045;0.215;null;null;21UGA013006;0;34.429;0;0.3494;10.644;35.854;13.046;70.524;0.9081;2.449;65.335;74.444;8.472;69.291;55.726;13.643;81.829;92.609;73.838;70.979;61.652;94.286;79.942;76.522;53.374
Kampala;21UGA007001;21UGA007;1.952.034;51.196;0.0637;0.9349;null;0.835;11.811.457;0.635;0.2867;0;0;0.7295;0.3082;0.9427;0.8579;0.0774;120.076.231;23.439.286.844;0.1677;0.9958;0.012;65.845;0.9384;0.375;0.769;103694;0.0442394005799471;21UGA007001;82.476;61.149;0;0;46.283;0.9854;36.541;0;6.878;32.945;0;0;0;0;20.225;0.5731;null;0;83.715;2.261;0;0;0;23.715;30.959
Arua;21UGA015002;21UGA015;4.344.572;22.951;0.1218;0.7155;48.426;0.0944;8.805.461;0.8155;0.2913;0;0.0003;0.7344;0.1399;0.6763;0.8776;0.0835;200.577;8.714.215.679;0.6837;0.2896;0.8212;2.691.602;0.4103;0.064;0.276;270390;0.310286100277679;21UGA015002;74.731;61.672;0;0.9618;44.002;38.195;16.669;64.629;58.195;38.873;68.038;78.163;83.829;57.836;59.666;32.771;82.428;90.328;83.504;69.938;86.382;88.857;7.114;7.887;63.007
Sironko;21UGA006009;21UGA006;4.054.585;0;0.2183;0.791;60.099;0.0778;15.952.807;0.7629;0.173;0;0;10.718;0.2167;0.6358;0.9633;0.0635;6.442.919;2.612.337.316;0.6824;0.9643;0.838;242.85;0.171;0.048;0.31;null;null;21UGA006009;0;44.575;0;0;13.369;85.268;2.246;74.454;12.144;19.436;67.867;0.3486;85.569;84.043;59.832;23.466;77.257;92.353;68.964;48.341;83.987;93.429;66.234;74.583;54.328
Pader;21UGA001008;21UGA001;32.929.961;0;0.1939;0.7317;47.503;0.0716;9.989.192;0.849;0.0944;0;0.0005;13.387;0.2449;0.5888;0.9446;0.1273;703.206;2.315.655.834;0.7252;0.1344;0.8791;3.070.312;0.1203;0.083;0.221;null;null;21UGA001008;0;24.767;0;14.864;10.468;73.366;1.298;85.856;22.192;81.438;7.351;9.534;89.827;89.596;76.736;30.774;82.837;93.109;57.462;40.411;89.446;83.429;79.076;74.864;61.058
Mbale;21UGA006007;21UGA006;5.185.147;18.505;0.0974;0.8756;40.341;0.1854;12.909.791;0.6754;0.1966;0;0;0.3516;0.2095;0.687;0.944;0.066;10.421.857;5.403.887.654;0.5747;0.9619;0.6563;741.842;0.3954;0.108;0.428;null;null;21UGA006007;72.653;48.767;0;0;3.735;26.293;32.093;62.033;22.515;21.866;53.666;0.3752;66.746;59.468;41.835;13.039;8.601;79.229;10;50.366;56.379;76.286;49.206;71.347;52.322
Kakumiro;21UGA004004;21UGA004;16.691.073;0;0.1165;0.5724;234.497;0.1453;11.758.775;0.9227;0.0747;0;0.0003;0.9629;0.143;0.7023;0.9393;0.0711;1.057.739;1.765.480.106;0.6792;0.813;0.8321;2.658.177;0.3361;0.027;0.347;null;null;21UGA004004;0;17.143;0;0.9618;0.6943;3.561;0.4866;58.321;2.504;26.822;67.445;20.232;84.958;65.962;48.686;50.407;0;8.412;73.657;69.066;86.091;99.429;60.895;73.266;48.445
Abim;21UGA008001;21UGA008;27.519.655;0;0.1681;0.9814;36.438;0.0454;11.764.627;0.9187;0.1485;0;0.0003;20.979;0.1486;0.5891;0.9738;0.1464;329.094;90.565.589;0.7861;0.1584;0.8757;275.353;0.1363;0.094;0.241;null;null;21UGA008001;0;39.573;0;0.9618;13.809;6.078;0.5307;85.784;0.6502;10;8.154;92.684;89.475;87.844;78.389;0;87.739;96.304;24.745;67.492;86.911;80.286;7.619;73.778;61.943
Ngora;21UGA013007;21UGA013;7.212.077;0;0.1416;0.9198;54.426;0.0649;1060.33;0.3206;0.2561;0;0.0007;0.7099;0.1707;0.6712;0.9585;0.0662;2.343.806;1.690.371.037;0.6795;0.2735;0.8457;839.358;0.262;0.047;0.233;null;null;21UGA013007;0;57.443;0;19.452;22.833;47.854;71.155;65.866;14.723;2.206;67.484;79.945;86.367;74.077;63.645;0.7592;7.977;93.926;84.559;61.277;59.254;93.714;77.345;7.612;5.838
