name;pcode;pcode_parent;Land area;Violent incidents last year;% persons with disability;% Access to safe drinking water;Nr. of educational facilities per 10,000 people;% Access to electricity;Average elevation;% employed;Drought exposure;Earthquake exposure;Flood exposure;Nr. of health facilities per 10,000 people;% Access improved sanitation;% Literacy;% having mosquito nets;% of orphans under 18;Population density;Population;Poverty incidence;% permanent roof type;% Subsistence farming;Travel time to nearest city;% permanent wall type;% with internet access;% with mobile access;# of displaced persons;# of displaced / local population;pcode_level2;Violent incidents last year (0-10);Drought exposure (0-10);Earthquake exposure (0-10);Flood exposure (0-10);Hazards exposure;% persons with disability (0-10);% employed (0-10);% Literacy (0-10);% having mosquito nets (0-10);% of orphans under 18 (0-10);Poverty incidence (0-10);% permanent roof type (0-10);% Subsistence farming (0-10);% permanent wall type (0-10);Vulnerability;% Access to safe drinking water (0-10);Nr. of educational facilities per 10,000 people (0-10);% Access to electricity (0-10);Nr. of health facilities per 10,000 people (0-10);% Access improved sanitation (0-10);Travel time to nearest city (0-10);% with internet access (0-10);% with mobile access (0-10);Lack of Coping Capacity;Risk score
Luwero;21UGA011007;21UGA011;2.216.454;17.698;0.1161;0.8128;33.095;0.247;11.084.586;0.7665;0.2662;0;0.0002;11.504;0.3147;0.8068;0.8947;0.0821;2.549.273;5.650.345.496;0.4771;0.9371;0.6199;1.113.392;0.7919;0.082;0.496;null;null;21UGA011007;72.222;58.713;0;0.6684;4.138;35.415;22.063;32.969;49.006;37.512;40.796;0.6497;62.975;16.044;35.472;20.779;8.922;71.716;65.576;20.782;65.831;83.714;39.394;63.042;47.819
Kole;21UGA010005;21UGA010;10.611.776;0;0.1752;0.692;39.302;0.0582;10.752.947;0.8974;0.1228;0;0;0.4079;0.1197;0.6983;0.9684;0.095;2.541.568;2.697.055.001;0.6392;0.3;0.9173;1.381.422;0.2105;0.036;0.201;null;null;21UGA010005;0;33.356;0;0;0.9486;64.244;0.7652;59.292;0.9404;50.049;6.217;77.012;93.784;79.717;62.864;35.667;8.647;94.743;97.574;75.619;70.853;96.857;81.962;84.593;6.045
Lamwo;21UGA001005;21UGA001;54.468.311;0;0.1841;0.7378;53.737;0.0526;9.845.167;0.8289;0.1304;0;0;11.822;0.2309;0.6002;0.934;0.0973;341.649;186.090.206;0.6284;0.1122;0.8913;4.137.493;0.0878;0.06;0.221;36770;0.197592343998033;21UGA001005;0;35.319;0;0;10.134;68.585;15.193;83.091;27.888;52.284;60.746;97.797;91.091;93.155;73.958;30.022;80.075;95.426;64.206;44.348;96.391;9;79.076;78.658;61.548
Ibanda;21UGA002003;21UGA002;9.647.724;33.269;0.1191;0.4271;89.162;0.1036;13.836.174;0.864;0.2055;0;0;14.639;0.1795;0.7271;0.9651;0.0848;3.115.509;3.005.757.268;0.6847;0.9388;0.8594;1.655.761;0.262;0.06;0.379;null;null;21UGA002003;78.315;50.219;0;0;40.646;36.878;11.329;52.305;11.177;40.136;6.817;0.6309;87.786;74.077;4.993;68.314;64.382;89.206;52.066;58.802;7.507;9;56.277;7.185;55.795
Wakiso;21UGA011013;21UGA011;28.092.861;0.6476;0.0696;0.8377;66.245;0.6067;11.568.589;0.6743;0.4444;0;0.0001;0.7253;0.3886;0.8426;0.8674;0.0754;5.497.002;15.442.650.679;0.3149;0.9913;0.1691;343.709;0.9254;0.246;0.698;null;null;21UGA011013;62.524;75.554;0;0.3494;43.694;12.732;32.214;24.284;63.675;31.001;19.409;0.0498;16.275;0.1424;24.642;1.771;74.535;27.845;83.896;0;38.468;36.857;10.245;42.912;3.758
Kaabong;21UGA008003;21UGA008;72.872.625;0;0.1118;0.7619;10.888;0.0233;1.416.242;0.752;0.1736;0;0;0.4323;0.0852;0.839;0.9754;0.1217;857.059;6.245.613.597;0.8994;0.1172;0.8318;3.957.565;0.0255;0.027;0.086;null;null;21UGA008003;0;44.688;0;0;1.341;33.317;2.366;25.158;0.5642;75.996;96.479;97.244;84.927;99.978;74.171;27.052;99.057;9.9;96.522;85.321;95.356;99.429;98.557;93.184;70.965
Bunyangabu;21UGA014002;21UGA014;497.878;50.291;0.1204;0.6267;56.828;0.1111;17.574.072;0.8618;0.2773;0.0074;0;10.561;0.1827;0.7337;0.9499;0.0958;3.993.833;1.988.441.561;0.6042;0.968;0.8021;1.815.589;0.1604;0.041;0.382;null;null;21UGA014002;82.304;60.054;10;0;74.403;37.512;11.571;50.704;19.344;50.826;57.555;0.3077;8.185;85.204;50.686;43.715;78.706;88.291;6.964;57.902;77.215;95.429;55.844;74.496;67.805
Iganga;21UGA005004;21UGA005;6.378.198;0;0.1304;0.8919;81.977;0.1196;11.030.648;0.6959;0.1484;0;0;0.8629;0.2711;0.6689;0.9478;0.0521;6.177.515;394.013.511;0.5537;0.9439;0.6982;710.631;0.7972;0.062;0.385;null;null;21UGA005004;0;39.551;0;0;11.574;4.239;29.836;66.424;20.473;0.8358;50.897;0.5744;71.087;15.464;3.845;1.103;67.565;87.255;77.966;33.043;55.378;89.429;55.411;65.692;42.112
Buvuma;21UGA011002;21UGA011;96.222.142;0;0.2339;0.3559;7.787;0.0698;11.356.926;0.8607;0.2127;0;0.0007;1.442;0.1324;0.6213;0.8554;0.0623;72.069;693.461.484;0.5715;0.6613;0.5215;1.363.163;0.0711;0.048;0.437;null;null;21UGA011002;0;51.349;0;19.452;20.427;92.878;11.692;77.972;70.124;1.827;53.244;37.023;52.782;94.984;65.113;77.089;69.385;93.328;5.301;72.047;70.543;93.429;47.908;7.548;58.141
Bukwo;21UGA006002;21UGA006;5.561.326;150.744;0.1065;0.6086;117.581;0.0502;23.677.867;0.7791;0.2535;0;0;24.119;0.2225;0.7081;0.9567;0.0493;1.192.835;66.337.469;0.7002;0.5231;0.8489;1.940.808;0.0332;0.08;0.245;null;null;21UGA006002;92.903;57.108;0;0;52.084;30.732;20.676;56.914;1.569;0.5637;70.214;52.319;86.698;99.135;59.096;45.945;51.793;95.719;11.213;4.671;78.768;84.286;75.613;68.065;60.173
