,station,time,dis,dis7
0,G6107,1997-01-02,72.129395,71.97973
1,G6107,1997-01-05,74.386314,73.634315
2,G6107,1997-01-09,73.287186,72.326836
3,G6107,1997-01-12,71.9178,71.71352
4,G6107,1997-01-16,73.31939,77.465485
5,G6107,1997-01-19,87.34794,105.650375
6,G6107,1997-01-23,110.048325,87.888504
7,G6107,1997-01-26,93.69983,83.56436
8,G6107,1997-01-30,115.43676,89.1685
9,G6107,1997-02-02,93.42677,78.12467
10,G6107,1997-02-06,75.21017,69.46502
11,G6107,1997-02-09,69.45253,66.3713
12,G6107,1997-02-13,65.93082,64.33584
13,G6107,1997-02-16,64.10927,62.657032
14,G6107,1997-02-20,62.24963,61.08391
15,G6107,1997-02-23,61.069744,60.33427
16,G6107,1997-02-27,60.28674,60.417465
17,G6107,1997-03-02,59.904133,59.264576
18,G6107,1997-03-06,61.55311,60.822117
19,G6107,1997-03-09,60.510166,59.962402
20,G6107,1997-03-13,60.327637,71.164894
21,G6107,1997-03-16,65.50816,83.674034
22,G6107,1997-03-20,77.050385,84.71373
23,G6107,1997-03-23,116.50478,127.96923
24,G6107,1997-03-27,96.71042,169.09161
25,G6107,1997-03-30,160.01668,142.10342
26,G6107,1997-04-03,134.90944,229.66261
27,G6107,1997-04-06,300.39493,439.11057
28,G6107,1997-04-10,327.61017,198.6108
29,G6107,1997-04-13,143.91478,95.5391
30,G6107,1997-04-17,98.057594,141.20117
31,G6107,1997-04-20,345.85736,304.7637
32,G6107,1997-04-24,312.07037,353.9145
33,G6107,1997-04-27,440.17868,271.66458
34,G6107,1997-05-01,208.61961,125.00621
35,G6107,1997-05-04,130.6018,191.79176
36,G6107,1997-05-08,373.28445,375.99017
37,G6107,1997-05-11,364.94772,414.8459
38,G6107,1997-05-15,453.47403,352.11002
39,G6107,1997-05-18,315.86676,280.03506
40,G6107,1997-05-22,379.11725,315.55283
41,G6107,1997-05-25,440.30698,469.1738
42,G6107,1997-05-29,562.52167,400.54373
43,G6107,1997-06-01,584.5345,449.2067
44,G6107,1997-06-05,478.4746,416.1414
45,G6107,1997-06-08,532.0035,446.0345
46,G6107,1997-06-12,697.1059,636.1675
47,G6107,1997-06-15,667.794,682.625
48,G6107,1997-06-19,827.67255,763.8179
49,G6107,1997-06-22,781.9179,920.2856
50,G6107,1997-06-26,1059.3351,1104.8807
51,G6107,1997-06-29,1055.7872,1099.2493
52,G6107,1997-07-03,1015.67255,1030.4323
53,G6107,1997-07-06,1169.6989,1034.3546
54,G6107,1997-07-10,930.19415,916.59985
55,G6107,1997-07-13,991.9641,931.6689
56,G6107,1997-07-17,1105.4789,1168.3845
57,G6107,1997-07-20,1169.3336,1232.8489
58,G6107,1997-07-24,1118.2354,1156.4777
59,G6107,1997-07-27,1117.615,1172.0953
60,G6107,1997-07-31,1359.6733,1319.4105
61,G6107,1997-08-03,1336.4249,1448.457
62,G6107,1997-08-07,1241.2665,1152.7247
63,G6107,1997-08-10,1094.2914,1150.7866
64,G6107,1997-08-14,1239.6306,1180.4341
65,G6107,1997-08-17,1187.6017,1256.0918
66,G6107,1997-08-21,1184.1311,1222.7522
67,G6107,1997-08-24,1343.539,1267.4565
68,G6107,1997-08-28,1120.6753,972.25696
69,G6107,1997-08-31,1069.2383,999.03827
70,G6107,1997-09-04,1175.4524,1153.0162
71,G6107,1997-09-07,1077.4911,1078.4026
72,G6107,1997-09-11,1198.816,1108.9406
73,G6107,1997-09-14,1113.1206,1033.6783
74,G6107,1997-09-18,946.887,966.0119
75,G6107,1997-09-21,909.8698,860.3833
76,G6107,1997-09-25,875.13074,761.17194
77,G6107,1997-09-28,843.6725,690.08344
78,G6107,1997-10-02,695.7747,636.64233
79,G6107,1997-10-05,601.01025,642.43054
80,G6107,1997-10-09,640.1598,489.80576
81,G6107,1997-10-12,485.29062,428.11575
82,G6107,1997-10-16,564.26965,648.3943
83,G6107,1997-10-19,814.11053,672.7242
84,G6107,1997-10-23,833.57635,764.19617
85,G6107,1997-10-26,888.6857,752.71295
86,G6107,1997-10-30,764.0562,642.94763
87,G6107,1997-11-02,680.5694,607.19336
88,G6107,1997-11-06,571.95905,579.1828
89,G6107,1997-11-09,673.96155,702.32245
90,G6107,1997-11-13,658.4571,657.60645
91,G6107,1997-11-16,761.57495,577.36035
92,G6107,1997-11-20,550.13434,525.9202
93,G6107,1997-11-23,482.65848,426.67273
94,G6107,1997-11-27,486.98212,396.23465
95,G6107,1997-11-30,419.4373,362.35385
96,G6107,1997-12-04,358.50122,333.625
97,G6107,1997-12-07,344.11075,304.51917
98,G6107,1997-12-11,296.09488,269.7842
99,G6107,1997-12-14,271.38806,244.90242
100,G6107,1997-12-18,237.31325,218.12541
101,G6107,1997-12-21,228.66373,205.71541
102,G6107,1997-12-25,226.84415,228.69302
103,G6107,1997-12-28,222.11867,179.66803
104,G6107,1998-01-02,172.7659,156.83768
105,G6107,1998-01-05,180.14133,161.03406
106,G6107,1998-01-09,191.39429,199.68411
107,G6107,1998-01-12,164.49759,158.18857
108,G6107,1998-01-16,220.27965,185.14664
109,G6107,1998-01-19,197.71994,141.0151
110,G6107,1998-01-23,121.533714,101.91682
111,G6107,1998-01-26,104.84483,94.05771
112,G6107,1998-01-30,94.43887,88.69586
113,G6107,1998-02-02,105.72694,91.14412
114,G6107,1998-02-06,92.60897,91.59885
115,G6107,1998-02-09,85.61128,82.28477
116,G6107,1998-02-13,76.06084,72.8701
117,G6107,1998-02-16,72.51712,70.9469
118,G6107,1998-02-20,71.61454,73.78591
119,G6107,1998-02-23,74.74913,80.118774
120,G6107,1998-02-27,80.6009,98.03245
121,G6107,1998-03-02,89.91573,147.81532
122,G6107,1998-03-06,137.03613,104.84968
123,G6107,1998-03-09,131.99213,99.71516
124,G6107,1998-03-13,117.62289,92.81173
125,G6107,1998-03-16,106.86373,112.10193
126,G6107,1998-03-20,184.2128,148.23196
127,G6107,1998-03-23,115.49573,95.433495
128,G6107,1998-03-27,112.23208,85.9296
129,G6107,1998-03-30,82.312515,70.715675
130,G6107,1998-04-03,116.52293,175.46553
131,G6107,1998-04-06,126.57257,178.81647
132,G6107,1998-04-10,94.66816,130.4529
133,G6107,1998-04-13,127.70996,134.03406
134,G6107,1998-04-17,151.57294,197.14062
135,G6107,1998-04-20,172.7719,205.75922
136,G6107,1998-04-24,143.50749,148.08679
137,G6107,1998-04-27,128.18814,87.775734
138,G6107,1998-05-01,237.46313,314.50958
139,G6107,1998-05-04,304.1422,197.37631
140,G6107,1998-05-08,405.0343,384.01877
141,G6107,1998-05-11,488.6231,506.7145
142,G6107,1998-05-15,525.5845,296.6283
143,G6107,1998-05-18,290.74182,228.04977
144,G6107,1998-05-22,526.0124,340.80447
145,G6107,1998-05-25,299.74896,301.71033
146,G6107,1998-05-29,331.07266,439.3233
147,G6107,1998-06-01,644.17065,465.9127
148,G6107,1998-06-05,410.06155,446.70157
149,G6107,1998-06-08,452.289,464.81525
150,G6107,1998-06-12,622.3142,596.0103
151,G6107,1998-06-15,812.29913,768.20135
152,G6107,1998-06-19,775.1483,954.7578
153,G6107,1998-06-22,893.925,914.20154
