,station,time,dis,dis7
0,G6112,1997-01-02,,
1,G6112,1997-01-05,,
2,G6112,1997-01-09,,
3,G6112,1997-01-12,,
4,G6112,1997-01-16,,
5,G6112,1997-01-19,,
6,G6112,1997-01-23,,
7,G6112,1997-01-26,,
8,G6112,1997-01-30,,
9,G6112,1997-02-02,,
10,G6112,1997-02-06,,
11,G6112,1997-02-09,,
12,G6112,1997-02-13,,
13,G6112,1997-02-16,,
14,G6112,1997-02-20,,
15,G6112,1997-02-23,,
16,G6112,1997-02-27,,
17,G6112,1997-03-02,,
18,G6112,1997-03-06,,
19,G6112,1997-03-09,,
20,G6112,1997-03-13,,
21,G6112,1997-03-16,,
22,G6112,1997-03-20,,
23,G6112,1997-03-23,,
24,G6112,1997-03-27,,
25,G6112,1997-03-30,,
26,G6112,1997-04-03,,
27,G6112,1997-04-06,,
28,G6112,1997-04-10,,
29,G6112,1997-04-13,,
30,G6112,1997-04-17,,
31,G6112,1997-04-20,,
32,G6112,1997-04-24,,
33,G6112,1997-04-27,,
34,G6112,1997-05-01,,
35,G6112,1997-05-04,,
36,G6112,1997-05-08,,
37,G6112,1997-05-11,,
38,G6112,1997-05-15,,
39,G6112,1997-05-18,,
40,G6112,1997-05-22,,
41,G6112,1997-05-25,,
42,G6112,1997-05-29,,
43,G6112,1997-06-01,,
44,G6112,1997-06-05,,
45,G6112,1997-06-08,,
46,G6112,1997-06-12,,
47,G6112,1997-06-15,,
48,G6112,1997-06-19,,
49,G6112,1997-06-22,,
50,G6112,1997-06-26,,
51,G6112,1997-06-29,,
52,G6112,1997-07-03,,
53,G6112,1997-07-06,,
54,G6112,1997-07-10,,
55,G6112,1997-07-13,,
56,G6112,1997-07-17,,
57,G6112,1997-07-20,,
58,G6112,1997-07-24,,
59,G6112,1997-07-27,,
60,G6112,1997-07-31,,
61,G6112,1997-08-03,,
62,G6112,1997-08-07,,
63,G6112,1997-08-10,,
64,G6112,1997-08-14,,
65,G6112,1997-08-17,,
66,G6112,1997-08-21,,
67,G6112,1997-08-24,,
68,G6112,1997-08-28,,
69,G6112,1997-08-31,,
70,G6112,1997-09-04,,
71,G6112,1997-09-07,,
72,G6112,1997-09-11,,
73,G6112,1997-09-14,,
74,G6112,1997-09-18,,
75,G6112,1997-09-21,,
76,G6112,1997-09-25,,
77,G6112,1997-09-28,,
78,G6112,1997-10-02,,
79,G6112,1997-10-05,,
