,station,time,dis,dis7
0,G4960,1997-01-02,1544.9636,1488.5255
1,G4960,1997-01-05,1489.3937,1458.9152
2,G4960,1997-01-09,1451.6986,1419.8303
3,G4960,1997-01-12,1421.1484,1381.392
4,G4960,1997-01-16,1376.7206,1349.9556
5,G4960,1997-01-19,1340.3467,1308.6333
6,G4960,1997-01-23,1305.828,1299.267
7,G4960,1997-01-26,1299.4585,1346.2362
8,G4960,1997-01-30,1390.0686,1515.6526
9,G4960,1997-02-02,1515.3337,1548.8165
10,G4960,1997-02-06,1533.5222,1444.0109
11,G4960,1997-02-09,1444.0125,1331.1177
12,G4960,1997-02-13,1293.7572,1192.2096
13,G4960,1997-02-16,1192.1523,1110.8613
14,G4960,1997-02-20,1088.6373,1033.971
15,G4960,1997-02-23,1034.0254,994.83496
16,G4960,1997-02-27,984.9426,961.1939
17,G4960,1997-03-02,961.17535,941.5073
18,G4960,1997-03-06,936.57886,917.835
19,G4960,1997-03-09,916.4719,901.3173
20,G4960,1997-03-13,899.6758,904.15533
21,G4960,1997-03-16,935.95917,956.9951
22,G4960,1997-03-20,964.6302,1009.8372
23,G4960,1997-03-23,1073.2897,1161.2216
24,G4960,1997-03-27,1204.9872,1585.1078
25,G4960,1997-03-30,1588.8105,2123.0205
26,G4960,1997-04-03,2114.7163,1826.475
27,G4960,1997-04-06,1894.9802,1686.093
28,G4960,1997-04-10,1941.2579,2413.4233
29,G4960,1997-04-13,2256.968,2153.745
30,G4960,1997-04-17,2195.9734,2089.749
31,G4960,1997-04-20,2105.5068,1953.8177
32,G4960,1997-04-24,1918.3242,1872.0571
33,G4960,1997-04-27,1904.6273,2314.7083
34,G4960,1997-05-01,3749.7039,3559.853
35,G4960,1997-05-04,3709.217,2925.3105
36,G4960,1997-05-08,2765.643,2570.5288
37,G4960,1997-05-11,2597.4204,2499.0933
38,G4960,1997-05-15,2778.785,2735.4607
39,G4960,1997-05-18,2966.66,2917.2947
40,G4960,1997-05-22,3014.7585,2682.4119
41,G4960,1997-05-25,2739.6863,2588.9949
42,G4960,1997-05-29,2818.0305,3024.2104
43,G4960,1997-06-01,3260.529,3608.6108
44,G4960,1997-06-05,4171.4785,3700.533
45,G4960,1997-06-08,3736.3643,3784.9055
46,G4960,1997-06-12,3764.8662,3930.3796
47,G4960,1997-06-15,3568.7822,3694.716
48,G4960,1997-06-19,4244.5273,5077.2407
49,G4960,1997-06-22,5456.9644,6037.099
50,G4960,1997-06-26,6015.2036,6196.6294
51,G4960,1997-06-29,6150.0566,6652.1797
52,G4960,1997-07-03,7239.2856,6968.033
53,G4960,1997-07-06,7108.6797,7466.5244
54,G4960,1997-07-10,7434.0933,8208.903
55,G4960,1997-07-13,8143.418,8481.072
56,G4960,1997-07-17,9381.043,9395.886
57,G4960,1997-07-20,9801.425,9164.648
58,G4960,1997-07-24,9687.539,9118.139
59,G4960,1997-07-27,9561.556,9192.152
60,G4960,1997-07-31,10348.748,10387.941
61,G4960,1997-08-03,11044.251,10369.14
62,G4960,1997-08-07,10649.931,10658.551
63,G4960,1997-08-10,10679.415,9857.453
64,G4960,1997-08-14,11217.9,11819.078
65,G4960,1997-08-17,12466.326,11396.366
66,G4960,1997-08-21,11896.567,10961.332
67,G4960,1997-08-24,11659.071,10999.597
68,G4960,1997-08-28,10870.739,10670.698
69,G4960,1997-08-31,11620.141,10972.132
70,G4960,1997-09-04,10898.024,9795.867
71,G4960,1997-09-07,10092.332,10072.003
72,G4960,1997-09-11,9965.787,8930.185
73,G4960,1997-09-14,10203.736,9608.229
74,G4960,1997-09-18,9913.01,8319.433
75,G4960,1997-09-21,8318.739,7517.1353
76,G4960,1997-09-25,7733.117,7218.583
77,G4960,1997-09-28,7512.37,7026.934
78,G4960,1997-10-02,7044.314,6325.102
79,G4960,1997-10-05,6384.435,5873.0
80,G4960,1997-10-09,5952.852,5348.9663
81,G4960,1997-10-12,5347.7046,4837.5127
82,G4960,1997-10-16,5236.1772,5367.714
83,G4960,1997-10-19,5316.424,5709.464
84,G4960,1997-10-23,7352.2646,7630.8906
85,G4960,1997-10-26,8129.1284,7795.796
86,G4960,1997-10-30,7663.939,6690.543
87,G4960,1997-11-02,6672.0356,5501.8774
88,G4960,1997-11-06,5379.273,4628.678
89,G4960,1997-11-09,4776.3916,4492.279
90,G4960,1997-11-13,4831.9326,4536.107
91,G4960,1997-11-16,4841.0146,5218.86
92,G4960,1997-11-20,5424.523,5009.9277
93,G4960,1997-11-23,4966.3833,4281.701
94,G4960,1997-11-27,4230.4204,4126.6943
95,G4960,1997-11-30,4226.9854,3783.7832
96,G4960,1997-12-04,3598.7964,3188.3909
97,G4960,1997-12-07,3177.0168,2888.1333
98,G4960,1997-12-11,2771.4084,2548.9915
99,G4960,1997-12-14,2545.6614,2372.4553
100,G4960,1997-12-18,2319.075,2183.3809
101,G4960,1997-12-21,2180.3906,2059.7168
102,G4960,1997-12-25,2024.2361,1978.2223
103,G4960,1997-12-28,1922.3911,1850.944
104,G4960,1998-01-02,1783.4724,1722.2076
105,G4960,1998-01-05,1694.2416,1622.367
106,G4960,1998-01-09,1595.4731,1548.338
107,G4960,1998-01-12,1542.9055,1492.5548
108,G4960,1998-01-16,1472.146,1419.7056
109,G4960,1998-01-19,1417.6235,1369.4618
110,G4960,1998-01-23,1354.89,1332.0763
