,station,time,dis,dis7
0,G4953,1997-01-02,226.97308,216.64775
1,G4953,1997-01-05,216.52414,206.8231
2,G4953,1997-01-09,203.77113,194.64624
3,G4953,1997-01-12,194.88805,186.25098
4,G4953,1997-01-16,184.95168,176.37286
5,G4953,1997-01-19,176.36151,168.93027
6,G4953,1997-01-23,166.5843,159.69331
7,G4953,1997-01-26,159.81932,153.76068
8,G4953,1997-01-30,151.70645,145.66309
9,G4953,1997-02-02,145.6482,139.90549
10,G4953,1997-02-06,138.204,132.8115
11,G4953,1997-02-09,132.974,128.45314
12,G4953,1997-02-13,127.022606,121.85947
13,G4953,1997-02-16,121.676605,117.58717
14,G4953,1997-02-20,116.40647,112.38006
15,G4953,1997-02-23,112.25589,108.593735
16,G4953,1997-02-27,108.03422,103.853096
17,G4953,1997-03-02,103.848946,100.247154
18,G4953,1997-03-06,99.539215,96.07131
19,G4953,1997-03-09,96.27216,93.15726
20,G4953,1997-03-13,92.726814,89.57711
21,G4953,1997-03-16,89.845406,86.2275
22,G4953,1997-03-20,85.42713,82.52866
23,G4953,1997-03-23,82.42461,79.95
24,G4953,1997-03-27,79.31913,76.76612
25,G4953,1997-03-30,76.518234,74.96768
26,G4953,1997-04-03,75.81635,75.778564
27,G4953,1997-04-06,75.88408,74.42513
28,G4953,1997-04-10,71.00885,68.36526
29,G4953,1997-04-13,67.70761,66.494995
30,G4953,1997-04-17,66.02544,64.03061
31,G4953,1997-04-20,65.085686,62.53571
32,G4953,1997-04-24,61.95115,60.81388
33,G4953,1997-04-27,60.93301,58.518173
34,G4953,1997-05-01,57.72479,56.49149
35,G4953,1997-05-04,56.49224,55.3712
36,G4953,1997-05-08,56.34466,58.702656
37,G4953,1997-05-11,53.870426,55.0944
38,G4953,1997-05-15,52.726223,52.066467
39,G4953,1997-05-18,51.56342,51.091213
40,G4953,1997-05-22,50.79635,50.82112
41,G4953,1997-05-25,50.53786,53.663063
42,G4953,1997-05-29,51.85119,53.893734
43,G4953,1997-06-01,55.380817,56.974724
44,G4953,1997-06-05,56.72146,60.295963
45,G4953,1997-06-08,62.841293,64.635544
46,G4953,1997-06-12,67.794876,68.39431
47,G4953,1997-06-15,68.325134,73.38351
48,G4953,1997-06-19,74.860756,80.85653
49,G4953,1997-06-22,82.61761,81.57301
50,G4953,1997-06-26,83.800026,88.50804
51,G4953,1997-06-29,91.76478,98.36672
52,G4953,1997-07-03,104.643364,112.390785
53,G4953,1997-07-06,125.86173,137.66875
54,G4953,1997-07-10,152.8289,165.52698
55,G4953,1997-07-13,182.26758,196.78015
56,G4953,1997-07-17,230.08992,251.50604
57,G4953,1997-07-20,276.59335,303.5873
58,G4953,1997-07-24,329.79413,348.7314
59,G4953,1997-07-27,350.83005,376.40414
60,G4953,1997-07-31,386.95593,408.89624
61,G4953,1997-08-03,407.22556,426.80518
62,G4953,1997-08-07,458.99838,482.85645
63,G4953,1997-08-10,489.09546,513.6072
64,G4953,1997-08-14,544.99396,572.3863
65,G4953,1997-08-17,601.55786,632.00165
66,G4953,1997-08-21,672.695,695.5029
67,G4953,1997-08-24,694.406,713.5352
68,G4953,1997-08-28,747.1397,759.92035
69,G4953,1997-08-31,781.4687,788.5879
70,G4953,1997-09-04,783.30994,773.70685
71,G4953,1997-09-07,796.2175,793.5884
72,G4953,1997-09-11,790.88916,781.0132
73,G4953,1997-09-14,809.54865,808.21594
74,G4953,1997-09-18,808.3068,782.9903
75,G4953,1997-09-21,785.46814,758.019
76,G4953,1997-09-25,750.93414,721.08716
77,G4953,1997-09-28,722.6046,693.57104
78,G4953,1997-10-02,688.06226,661.00183
79,G4953,1997-10-05,666.0234,638.2973
80,G4953,1997-10-09,651.48114,625.13446
81,G4953,1997-10-12,627.0522,596.6512
82,G4953,1997-10-16,590.3902,570.2105
83,G4953,1997-10-19,576.7268,557.79126
84,G4953,1997-10-23,568.21484,558.8702
85,G4953,1997-10-26,570.0366,565.0745
86,G4953,1997-10-30,564.5534,552.80206
87,G4953,1997-11-02,551.3938,533.75305
88,G4953,1997-11-06,539.5765,520.9582
89,G4953,1997-11-09,522.15533,504.0597
90,G4953,1997-11-13,496.7851,479.49622
91,G4953,1997-11-16,482.187,468.13974
92,G4953,1997-11-20,458.11002,440.97363
93,G4953,1997-11-23,440.13968,421.60968
94,G4953,1997-11-27,414.8589,396.60333
95,G4953,1997-11-30,396.81943,380.42783
96,G4953,1997-12-04,373.67386,356.6911
97,G4953,1997-12-07,356.39386,339.88672
98,G4953,1997-12-11,333.548,317.65668
99,G4953,1997-12-14,317.14606,302.21793
100,G4953,1997-12-18,297.06677,283.10654
101,G4953,1997-12-21,282.35788,269.10358
102,G4953,1997-12-25,265.5312,252.17726
103,G4953,1997-12-28,251.51758,239.36511
104,G4953,1998-01-02,232.29672,221.03802
105,G4953,1998-01-05,221.00032,211.3867
106,G4953,1998-01-09,208.19118,198.8785
107,G4953,1998-01-12,198.77313,190.06706
108,G4953,1998-01-16,186.94946,179.45854
109,G4953,1998-01-19,179.5091,172.22215
110,G4953,1998-01-23,169.69191,162.61261
111,G4953,1998-01-26,162.58484,155.95091
112,G4953,1998-01-30,154.33025,148.33023
113,G4953,1998-02-02,148.243,142.62994
114,G4953,1998-02-06,141.02655,135.20491
115,G4953,1998-02-09,135.27705,130.31958
116,G4953,1998-02-13,128.70706,123.90777
117,G4953,1998-02-16,123.82877,119.528564
118,G4953,1998-02-20,117.75089,114.374985
119,G4953,1998-02-23,114.07806,110.45857
120,G4953,1998-02-27,109.10139,105.62841
121,G4953,1998-03-02,105.43813,102.57988
122,G4953,1998-03-06,100.80258,97.02618
123,G4953,1998-03-09,97.02613,93.93537
124,G4953,1998-03-13,93.44568,90.580154
125,G4953,1998-03-16,91.29326,88.663185
126,G4953,1998-03-20,86.71786,84.09354
127,G4953,1998-03-23,84.54052,81.73005
128,G4953,1998-03-27,80.27388,78.14362
129,G4953,1998-03-30,78.37538,75.83548
130,G4953,1998-04-03,75.36913,72.76329
131,G4953,1998-04-06,73.173225,70.73188
132,G4953,1998-04-10,70.27326,68.33392
133,G4953,1998-04-13,68.36528,66.2186
134,G4953,1998-04-17,65.68217,64.18842
135,G4953,1998-04-20,63.192448,61.650032
136,G4953,1998-04-24,61.553024,60.06666
137,G4953,1998-04-27,60.175617,58.942074
138,G4953,1998-05-01,59.899387,57.604164
139,G4953,1998-05-04,57.16476,55.645885
140,G4953,1998-05-08,56.151123,56.742535
141,G4953,1998-05-11,56.660988,58.1907
142,G4953,1998-05-15,60.30885,59.94714
143,G4953,1998-05-18,60.321247,61.620144
144,G4953,1998-05-22,61.49324,59.94551
145,G4953,1998-05-25,60.484295,59.03296
146,G4953,1998-05-29,59.756325,60.46114
147,G4953,1998-06-01,59.438496,58.176746
148,G4953,1998-06-05,55.851295,56.838676
149,G4953,1998-06-08,56.937664,60.357063
150,G4953,1998-06-12,60.179146,64.97861
151,G4953,1998-06-15,64.52272,61.942417
152,G4953,1998-06-19,58.342144,64.888664
153,G4953,1998-06-22,63.62547,69.78509
154,G4953,1998-06-26,67.34259,70.92544
155,G4953,1998-06-29,72.006096,71.12004
156,G4953,1998-07-03,72.72435,74.479576
157,G4953,1998-07-06,72.58211,75.47044
158,G4953,1998-07-10,84.33722,93.83343
159,G4953,1998-07-13,101.662674,104.96018
160,G4953,1998-07-17,114.89997,126.454384
161,G4953,1998-07-20,133.0729,143.16846
162,G4953,1998-07-24,148.86151,165.73232
163,G4953,1998-07-27,173.61996,189.78337
164,G4953,1998-07-31,210.79558,232.38551
165,G4953,1998-08-03,225.55875,251.33064
166,G4953,1998-08-07,254.89676,270.76154
167,G4953,1998-08-10,292.30133,313.09018
168,G4953,1998-08-14,323.1872,346.65875
169,G4953,1998-08-17,344.4106,374.08948
170,G4953,1998-08-21,379.00284,403.57077
171,G4953,1998-08-24,406.76733,424.3339
172,G4953,1998-08-28,431.17587,451.59973
173,G4953,1998-08-31,447.6047,463.361
174,G4953,1998-09-04,471.4398,489.21664
175,G4953,1998-09-07,482.70673,496.13992
176,G4953,1998-09-11,514.9359,532.9127
177,G4953,1998-09-14,549.53723,563.5787
178,G4953,1998-09-18,587.5582,600.9113
179,G4953,1998-09-21,611.59686,615.4564
180,G4953,1998-09-25,636.95966,648.06006
181,G4953,1998-09-28,673.70355,684.47235
182,G4953,1998-10-02,685.3489,674.74274
183,G4953,1998-10-05,678.10693,671.37555
184,G4953,1998-10-09,695.6183,683.8836
185,G4953,1998-10-12,718.659,724.7561
186,G4953,1998-10-16,727.8244,706.87695
187,G4953,1998-10-19,711.9422,688.2109
188,G4953,1998-10-23,692.7904,669.8214
189,G4953,1998-10-26,673.12195,647.92365
190,G4953,1998-10-30,640.7125,611.1614
191,G4953,1998-11-02,611.0327,580.76605
192,G4953,1998-11-06,571.18353,542.4154
193,G4953,1998-11-09,542.3079,514.25397
194,G4953,1998-11-13,504.95343,479.7813
195,G4953,1998-11-16,479.91275,455.5816
196,G4953,1998-11-20,447.39935,424.4152
197,G4953,1998-11-23,424.09213,402.0369
198,G4953,1998-11-27,394.2008,373.31808
199,G4953,1998-11-30,373.12872,353.22165
200,G4953,1998-12-04,346.2019,327.5886
201,G4953,1998-12-07,327.76083,310.2861
202,G4953,1998-12-11,304.60614,288.71643
203,G4953,1998-12-14,288.59195,274.09338
204,G4953,1998-12-18,269.48904,256.0269
205,G4953,1998-12-21,256.09082,243.68233
206,G4953,1998-12-25,239.71892,228.53008
207,G4953,1998-12-28,228.54915,217.89836
208,G4953,1999-01-02,210.99205,201.42433
209,G4953,1999-01-05,201.68788,193.2103
210,G4953,1999-01-09,191.1176,182.83693
211,G4953,1999-01-12,183.03604,175.04959
212,G4953,1999-01-16,172.32608,164.90852
213,G4953,1999-01-19,164.79492,158.41055
214,G4953,1999-01-23,156.10838,150.14995
215,G4953,1999-01-26,150.1053,144.04617
216,G4953,1999-01-30,141.88379,137.00963
217,G4953,1999-02-02,136.7951,131.71315
218,G4953,1999-02-06,130.16032,125.40198
219,G4953,1999-02-09,125.41598,121.05072
220,G4953,1999-02-13,119.440956,115.03221
221,G4953,1999-02-16,114.93568,111.50206
222,G4953,1999-02-20,109.862434,106.03709
223,G4953,1999-02-23,106.09197,102.3938
224,G4953,1999-02-27,101.13769,98.127525
225,G4953,1999-03-02,97.93069,94.88366
226,G4953,1999-03-06,93.6533,90.77562
227,G4953,1999-03-09,90.70907,87.596985
228,G4953,1999-03-13,86.88047,84.15044
229,G4953,1999-03-16,84.14335,81.26213
230,G4953,1999-03-20,80.68946,78.06029
231,G4953,1999-03-23,78.178505,75.792175
232,G4953,1999-03-27,75.23349,73.26059
233,G4953,1999-03-30,73.472725,71.23291
234,G4953,1999-04-03,70.51763,68.58843
235,G4953,1999-04-06,68.49221,66.84647
236,G4953,1999-04-10,66.409996,64.37147
237,G4953,1999-04-13,64.09408,62.599144
238,G4953,1999-04-17,62.50336,60.623615
239,G4953,1999-04-20,60.438164,58.92657
240,G4953,1999-04-24,59.296894,60.17291
241,G4953,1999-04-27,59.866165,58.390736
242,G4953,1999-05-01,55.804882,54.309883
243,G4953,1999-05-04,53.837395,53.24755
244,G4953,1999-05-08,54.01763,52.372803
245,G4953,1999-05-11,51.228497,49.707325
246,G4953,1999-05-15,49.812416,48.90113
247,G4953,1999-05-18,49.236862,47.895695
248,G4953,1999-05-22,50.003265,49.76796
249,G4953,1999-05-25,48.146915,47.05076
250,G4953,1999-05-29,46.067078,49.33454
251,G4953,1999-06-01,50.496883,49.301773
252,G4953,1999-06-05,46.249203,47.040524
253,G4953,1999-06-08,48.845383,57.403027
254,G4953,1999-06-12,57.81909,53.622272
255,G4953,1999-06-15,49.443512,51.717186
256,G4953,1999-06-19,53.46968,55.93397
257,G4953,1999-06-22,57.46372,60.998848
258,G4953,1999-06-26,65.297356,66.21504
259,G4953,1999-06-29,63.887413,75.4687
260,G4953,1999-07-03,77.572334,91.3992
261,G4953,1999-07-06,84.60091,94.09272
262,G4953,1999-07-10,101.48004,111.45636
263,G4953,1999-07-13,104.00997,117.06256
264,G4953,1999-07-17,121.382355,133.11856
265,G4953,1999-07-20,132.94705,146.20827
266,G4953,1999-07-24,140.61615,152.26659
267,G4953,1999-07-27,156.16194,180.63058
268,G4953,1999-07-31,161.32388,174.73203
269,G4953,1999-08-03,188.16191,214.62744
270,G4953,1999-08-07,218.10118,232.78021
271,G4953,1999-08-10,253.98795,277.29028
272,G4953,1999-08-14,300.57016,322.39847
273,G4953,1999-08-17,333.29932,352.94138
274,G4953,1999-08-21,367.6002,384.95
275,G4953,1999-08-24,384.58957,403.43234
276,G4953,1999-08-28,414.4003,438.50482
277,G4953,1999-08-31,461.7303,484.65536
278,G4953,1999-09-04,524.56757,546.14307
279,G4953,1999-09-07,578.53326,602.7156
280,G4953,1999-09-11,607.7449,620.0777
281,G4953,1999-09-14,616.9841,616.74945
282,G4953,1999-09-18,677.0486,699.06323
283,G4953,1999-09-21,693.65497,695.15027
284,G4953,1999-09-25,710.1309,705.77075
285,G4953,1999-09-28,708.6763,698.57513
286,G4953,1999-10-02,699.9885,688.0505
287,G4953,1999-10-05,709.9743,713.47656
288,G4953,1999-10-09,742.8043,748.4173
289,G4953,1999-10-12,758.3524,754.44257
290,G4953,1999-10-16,828.8485,838.4603
291,G4953,1999-10-19,873.98126,874.82227
292,G4953,1999-10-23,880.18475,853.037
293,G4953,1999-10-26,856.0027,822.7465
294,G4953,1999-10-30,814.74554,781.58374
295,G4953,1999-11-02,783.2008,749.0447
296,G4953,1999-11-06,738.5597,704.11237
297,G4953,1999-11-09,704.5975,670.77893
298,G4953,1999-11-13,659.8513,626.96954
299,G4953,1999-11-16,627.07104,595.95703
300,G4953,1999-11-20,584.6971,554.5227
301,G4953,1999-11-23,554.3361,525.68884
302,G4953,1999-11-27,516.0945,488.77872
303,G4953,1999-11-30,488.70285,462.49506
304,G4953,1999-12-04,454.79013,430.30066
305,G4953,1999-12-07,430.68436,406.98157
306,G4953,1999-12-11,399.76358,377.94208
307,G4953,1999-12-14,377.86853,357.5194
308,G4953,1999-12-18,350.86734,331.07727
309,G4953,1999-12-21,331.49588,313.26453
310,G4953,1999-12-25,307.48914,290.83978
311,G4953,1999-12-28,290.8594,275.72476
312,G4953,2000-01-02,266.0165,253.06255
313,G4953,2000-01-05,253.01869,240.93079
314,G4953,2000-01-09,237.08974,225.72656
315,G4953,2000-01-12,225.47087,215.33675
316,G4953,2000-01-16,212.11812,202.26184
317,G4953,2000-01-19,202.53954,193.22758
318,G4953,2000-01-23,190.62457,182.79584
319,G4953,2000-01-26,182.78525,174.97708
320,G4953,2000-01-30,172.60248,165.80547
321,G4953,2000-02-02,165.73969,158.62144
322,G4953,2000-02-06,156.88431,150.60648
323,G4953,2000-02-09,150.48976,144.68004
324,G4953,2000-02-13,143.07045,137.04228
325,G4953,2000-02-16,137.18266,132.26851
326,G4953,2000-02-20,130.20644,125.83065
327,G4953,2000-02-23,126.07353,121.487206
328,G4953,2000-02-27,120.09468,115.68864
329,G4953,2000-03-02,114.43185,110.64111
330,G4953,2000-03-06,109.78636,105.67149
331,G4953,2000-03-09,105.69742,102.11494
332,G4953,2000-03-13,100.9428,97.534966
333,G4953,2000-03-16,97.55244,93.652336
334,G4953,2000-03-20,92.987885,90.18688
335,G4953,2000-03-23,90.73271,87.60684
336,G4953,2000-03-27,86.476326,84.1108
337,G4953,2000-03-30,84.25052,82.49628
338,G4953,2000-04-03,82.72231,78.429115
339,G4953,2000-04-06,78.51627,75.47243
340,G4953,2000-04-10,75.31766,74.62498
341,G4953,2000-04-13,74.143555,72.07988
342,G4953,2000-04-17,71.988045,69.30486
343,G4953,2000-04-20,69.30411,67.659355
344,G4953,2000-04-24,66.28324,64.8451
345,G4953,2000-04-27,65.043686,63.01756
346,G4953,2000-05-01,63.797325,66.63
347,G4953,2000-05-04,62.86595,62.782314
348,G4953,2000-05-08,60.93818,59.7492
349,G4953,2000-05-11,58.201138,56.68232
350,G4953,2000-05-15,56.26407,54.947285
351,G4953,2000-05-18,55.188828,53.683376
352,G4953,2000-05-22,53.394535,52.23857
353,G4953,2000-05-25,52.571037,52.115665
354,G4953,2000-05-29,52.87362,54.698296
355,G4953,2000-06-01,52.06196,56.3774
356,G4953,2000-06-05,54.740112,52.08871
357,G4953,2000-06-08,57.4192,56.126263
358,G4953,2000-06-12,54.10152,54.702057
359,G4953,2000-06-15,54.298176,59.088757
360,G4953,2000-06-19,56.515472,57.99188
361,G4953,2000-06-22,61.990917,63.961113
362,G4953,2000-06-26,60.423416,66.592834
363,G4953,2000-06-29,63.255646,72.64723
364,G4953,2000-07-03,77.41889,84.27573
365,G4953,2000-07-06,81.23465,90.42286
366,G4953,2000-07-10,97.82463,108.88792
367,G4953,2000-07-13,134.85051,143.1462
368,G4953,2000-07-17,148.32759,167.31792
369,G4953,2000-07-20,168.99112,181.04704
370,G4953,2000-07-24,202.32043,220.69186
371,G4953,2000-07-27,223.44623,239.24542
372,G4953,2000-07-31,248.14087,263.58533
373,G4953,2000-08-03,263.13,278.04117
374,G4953,2000-08-07,299.6472,320.6664
375,G4953,2000-08-10,318.5811,340.3777
376,G4953,2000-08-14,345.3519,364.5874
377,G4953,2000-08-17,370.9352,392.0875
378,G4953,2000-08-21,409.8726,445.42313
379,G4953,2000-08-24,458.01096,491.88705
380,G4953,2000-08-28,506.48108,532.769
381,G4953,2000-08-31,564.3855,597.2667
382,G4953,2000-09-04,638.9976,671.17346
383,G4953,2000-09-07,681.01434,713.56946
384,G4953,2000-09-11,735.2682,751.02313
385,G4953,2000-09-14,760.8155,770.63226
386,G4953,2000-09-18,798.5394,797.7967
387,G4953,2000-09-21,800.67786,788.5169
388,G4953,2000-09-25,788.4294,773.9426
389,G4953,2000-09-28,812.09717,799.2977
390,G4953,2000-10-02,801.64197,783.38763
391,G4953,2000-10-05,801.613,782.1545
392,G4953,2000-10-09,786.7032,760.7436
393,G4953,2000-10-12,773.2877,754.4136
394,G4953,2000-10-16,752.7181,730.0806
395,G4953,2000-10-19,745.5114,727.76196
396,G4953,2000-10-23,732.2365,706.5412
397,G4953,2000-10-26,710.8296,682.5922
398,G4953,2000-10-30,680.11633,652.6938
399,G4953,2000-11-02,653.78723,624.1116
400,G4953,2000-11-06,615.69525,586.57104
401,G4953,2000-11-09,588.6429,564.934
402,G4953,2000-11-13,560.53467,539.2022
403,G4953,2000-11-16,539.4184,515.0586
404,G4953,2000-11-20,507.35596,482.31152
405,G4953,2000-11-23,482.47968,457.92798
406,G4953,2000-11-27,450.0938,426.68585
407,G4953,2000-11-30,426.5676,404.1206
408,G4953,2000-12-04,397.0956,376.16248
409,G4953,2000-12-07,376.2704,356.42496
410,G4953,2000-12-11,349.9981,331.80432
411,G4953,2000-12-14,332.77826,316.54413
412,G4953,2000-12-18,312.55203,298.46112
413,G4953,2000-12-21,298.94702,284.4043
414,G4953,2000-12-25,279.89233,266.08005
415,G4953,2000-12-28,266.03714,252.8031
416,G4953,2001-01-02,244.44513,232.86116
417,G4953,2001-01-05,233.00171,222.2448
418,G4953,2001-01-09,219.20946,208.68462
419,G4953,2001-01-12,208.90932,199.35715
420,G4953,2001-01-16,196.38246,188.03513
421,G4953,2001-01-19,188.12735,180.02483
422,G4953,2001-01-23,178.30312,170.43352
423,G4953,2001-01-26,170.7538,163.26698
424,G4953,2001-01-30,161.02298,154.76411
425,G4953,2001-02-02,154.67606,148.91609
426,G4953,2001-02-06,147.862,141.95477
427,G4953,2001-02-09,142.40953,136.32599
428,G4953,2001-02-13,134.25888,129.33307
429,G4953,2001-02-16,129.41934,124.59483
430,G4953,2001-02-20,123.68783,118.89972
431,G4953,2001-02-23,119.08085,114.517624
432,G4953,2001-02-27,113.32175,110.1192
433,G4953,2001-03-02,110.88101,106.06073
434,G4953,2001-03-06,104.28749,100.91388
435,G4953,2001-03-09,101.10925,97.50882
436,G4953,2001-03-13,97.336334,93.909424
437,G4953,2001-03-16,93.72003,90.59098
438,G4953,2001-03-20,89.79487,86.7865
439,G4953,2001-03-23,86.60916,84.18948
440,G4953,2001-03-27,84.778404,81.21219
441,G4953,2001-03-30,81.55983,79.00594
442,G4953,2001-04-03,78.40713,76.50977
443,G4953,2001-04-06,77.02891,74.263016
444,G4953,2001-04-10,73.203224,70.13761
445,G4953,2001-04-13,70.275826,68.599976
446,G4953,2001-04-17,67.90896,66.756134
447,G4953,2001-04-20,66.9617,64.36405
448,G4953,2001-04-24,64.20107,62.664227
449,G4953,2001-04-27,62.51251,61.1348
450,G4953,2001-05-01,60.661606,58.365524
451,G4953,2001-05-04,58.22461,57.34088
452,G4953,2001-05-08,56.895172,55.482853
453,G4953,2001-05-11,55.691658,54.275867
454,G4953,2001-05-15,54.473606,53.95059
455,G4953,2001-05-18,52.98531,51.567024
456,G4953,2001-05-22,51.561333,50.50475
457,G4953,2001-05-25,51.26876,53.68551
458,G4953,2001-05-29,53.23824,53.154404
459,G4953,2001-06-01,51.760674,54.34074
460,G4953,2001-06-05,55.24249,60.471836
461,G4953,2001-06-08,57.950424,62.44638
462,G4953,2001-06-12,59.376633,64.735306
463,G4953,2001-06-15,63.46323,70.762726
464,G4953,2001-06-19,75.150826,79.594315
465,G4953,2001-06-22,81.516785,90.73455
