,station,time,dis,dis7
0,G5141,1997-01-02,72.47862,62.33369
1,G5141,1997-01-05,69.50831,67.61843
2,G5141,1997-01-09,71.9028,58.231167
3,G5141,1997-01-12,58.52299,49.810917
4,G5141,1997-01-16,48.061672,45.41112
5,G5141,1997-01-19,49.97264,60.85709
6,G5141,1997-01-23,72.153336,64.89717
7,G5141,1997-01-26,92.832985,83.757454
8,G5141,1997-01-30,78.89809,59.53594
9,G5141,1997-02-02,60.772556,51.633625
10,G5141,1997-02-06,49.29069,44.128254
11,G5141,1997-02-09,44.16144,40.693207
12,G5141,1997-02-13,39.626232,37.569275
13,G5141,1997-02-16,37.78248,37.437843
14,G5141,1997-02-20,37.122917,36.060627
15,G5141,1997-02-23,36.077267,35.2791
16,G5141,1997-02-27,35.265144,35.330753
17,G5141,1997-03-02,36.633312,47.84135
18,G5141,1997-03-06,48.728634,42.345642
19,G5141,1997-03-09,42.716793,39.32886
20,G5141,1997-03-13,41.34492,43.025593
21,G5141,1997-03-16,42.260326,42.077824
22,G5141,1997-03-20,41.522945,49.893444
23,G5141,1997-03-23,52.74525,103.406
24,G5141,1997-03-27,257.01328,359.70544
25,G5141,1997-03-30,516.4135,333.12372
26,G5141,1997-04-03,848.4478,619.93286
27,G5141,1997-04-06,955.55817,839.5324
28,G5141,1997-04-10,886.28314,584.3439
29,G5141,1997-04-13,733.40295,343.95328
30,G5141,1997-04-17,380.00317,259.46924
31,G5141,1997-04-20,550.42725,869.7528
32,G5141,1997-04-24,1182.0421,888.23346
33,G5141,1997-04-27,1211.6719,848.38544
34,G5141,1997-05-01,1045.45,525.31757
35,G5141,1997-05-04,852.2151,464.92923
36,G5141,1997-05-08,934.7402,610.25195
37,G5141,1997-05-11,1257.3379,663.66046
38,G5141,1997-05-15,1014.9644,580.6479
39,G5141,1997-05-18,819.6616,434.46002
40,G5141,1997-05-22,482.51624,301.44913
41,G5141,1997-05-25,633.89954,383.987
42,G5141,1997-05-29,781.2153,399.48166
43,G5141,1997-06-01,770.82,398.08752
44,G5141,1997-06-05,460.38556,273.80606
45,G5141,1997-06-08,345.5349,231.92577
46,G5141,1997-06-12,493.61115,321.2884
47,G5141,1997-06-15,454.9341,381.0307
48,G5141,1997-06-19,629.2881,386.73962
49,G5141,1997-06-22,542.2227,293.9271
50,G5141,1997-06-26,402.46265,265.55167
51,G5141,1997-06-29,434.60583,359.77908
52,G5141,1997-07-03,587.955,437.32428
53,G5141,1997-07-06,866.9295,606.0634
54,G5141,1997-07-10,530.8136,349.33395
55,G5141,1997-07-13,414.28925,285.01215
56,G5141,1997-07-17,320.80658,276.20374
57,G5141,1997-07-20,356.4023,347.07794
58,G5141,1997-07-24,624.3904,535.3315
59,G5141,1997-07-27,826.084,506.28534
60,G5141,1997-07-31,515.0404,509.82635
61,G5141,1997-08-03,702.23474,545.62823
62,G5141,1997-08-07,736.1292,505.1383
63,G5141,1997-08-10,486.1359,337.8295
64,G5141,1997-08-14,346.24673,282.21933
65,G5141,1997-08-17,332.98935,260.42914
66,G5141,1997-08-21,326.62894,304.15454
67,G5141,1997-08-24,619.9076,417.90637
68,G5141,1997-08-28,493.99796,339.82132
69,G5141,1997-08-31,374.27457,244.20769
70,G5141,1997-09-04,301.95663,210.81673
71,G5141,1997-09-07,370.744,226.87047
72,G5141,1997-09-11,226.9907,178.97908
73,G5141,1997-09-14,278.2269,213.87735
74,G5141,1997-09-18,272.87585,210.5913
75,G5141,1997-09-21,496.06638,309.29263
76,G5141,1997-09-25,467.8498,400.49695
77,G5141,1997-09-28,751.59174,436.47003
78,G5141,1997-10-02,925.2781,537.14307
79,G5141,1997-10-05,1209.2798,730.4699
80,G5141,1997-10-09,1187.0151,602.75714
81,G5141,1997-10-12,1036.3608,687.024
82,G5141,1997-10-16,1516.5786,1206.0134
83,G5141,1997-10-19,1659.6877,1061.0403
84,G5141,1997-10-23,1322.329,1229.379
85,G5141,1997-10-26,1337.7941,881.2453
86,G5141,1997-10-30,1680.5845,831.1385
87,G5141,1997-11-02,1017.2242,598.99994
88,G5141,1997-11-06,703.10535,581.9688
89,G5141,1997-11-09,761.7015,977.9239
90,G5141,1997-11-13,1304.5742,873.94464
91,G5141,1997-11-16,1439.5941,927.43823
92,G5141,1997-11-20,995.4706,740.56696
93,G5141,1997-11-23,971.9328,751.233
94,G5141,1997-11-27,779.78705,446.8406
95,G5141,1997-11-30,589.263,394.70584
96,G5141,1997-12-04,566.9097,439.5692
97,G5141,1997-12-07,741.4058,417.30774
98,G5141,1997-12-11,712.9499,408.8092
99,G5141,1997-12-14,550.5213,327.08594
100,G5141,1997-12-18,377.9405,253.47278
101,G5141,1997-12-21,337.93805,232.09953
102,G5141,1997-12-25,277.19592,220.90883
103,G5141,1997-12-28,249.3037,186.91417
104,G5141,1998-01-02,196.39331,167.22594
105,G5141,1998-01-05,196.41933,150.04332
106,G5141,1998-01-09,150.57072,151.29639
107,G5141,1998-01-12,208.86726,257.3348
108,G5141,1998-01-16,700.0643,367.75864
109,G5141,1998-01-19,670.8022,358.01596
110,G5141,1998-01-23,344.4136,215.02867
111,G5141,1998-01-26,235.98666,164.32516
112,G5141,1998-01-30,177.47154,138.31859
113,G5141,1998-02-02,146.27225,114.0159
114,G5141,1998-02-06,122.75486,100.41979
115,G5141,1998-02-09,106.99523,96.02669
116,G5141,1998-02-13,428.69333,288.61325
117,G5141,1998-02-16,427.81302,329.82584
118,G5141,1998-02-20,620.2842,289.90878
119,G5141,1998-02-23,356.30447,206.18425
120,G5141,1998-02-27,207.81349,143.66644
121,G5141,1998-03-02,161.78058,120.55539
122,G5141,1998-03-06,136.51527,117.24911
123,G5141,1998-03-09,135.28516,109.284225
124,G5141,1998-03-13,118.70596,91.263435
125,G5141,1998-03-16,104.03949,86.22753
126,G5141,1998-03-20,112.463875,106.9919
127,G5141,1998-03-23,203.0486,132.92561
128,G5141,1998-03-27,155.82153,101.330345
129,G5141,1998-03-30,104.19857,78.47596
130,G5141,1998-04-03,74.60851,73.314766
131,G5141,1998-04-06,69.8558,86.498795
132,G5141,1998-04-10,321.66458,515.69745
133,G5141,1998-04-13,283.9924,209.47565
134,G5141,1998-04-17,184.99321,247.00502
135,G5141,1998-04-20,495.6976,290.7573
136,G5141,1998-04-24,719.1039,393.15787
137,G5141,1998-04-27,1070.0394,492.52588
138,G5141,1998-05-01,519.43225,376.04068
139,G5141,1998-05-04,738.2556,709.91705
140,G5141,1998-05-08,1230.7769,662.0577
141,G5141,1998-05-11,1136.3838,644.3304
142,G5141,1998-05-15,1216.4023,601.9876
143,G5141,1998-05-18,1274.0989,608.51105
144,G5141,1998-05-22,750.77576,446.65326
145,G5141,1998-05-25,1008.52075,512.8414
146,G5141,1998-05-29,1072.883,542.00366
147,G5141,1998-06-01,716.8286,480.4359
148,G5141,1998-06-05,885.20355,520.78705
149,G5141,1998-06-08,622.14124,385.18124
150,G5141,1998-06-12,666.03894,389.7588
151,G5141,1998-06-15,481.12717,323.76202
152,G5141,1998-06-19,426.7393,268.71063
153,G5141,1998-06-22,370.42297,330.66193
154,G5141,1998-06-26,396.9305,270.3305
155,G5141,1998-06-29,384.45657,236.74077
156,G5141,1998-07-03,478.07367,338.5799
157,G5141,1998-07-06,493.1908,288.14108
158,G5141,1998-07-10,440.7557,272.62714
159,G5141,1998-07-13,396.78552,305.73096
160,G5141,1998-07-17,457.0571,339.9887
161,G5141,1998-07-20,509.96942,433.25854
162,G5141,1998-07-24,626.8336,379.78714
163,G5141,1998-07-27,553.0739,378.29214
164,G5141,1998-07-31,547.2383,444.00558
165,G5141,1998-08-03,613.22015,437.43195
166,G5141,1998-08-07,497.69962,384.61603
167,G5141,1998-08-10,483.38055,383.7218
168,G5141,1998-08-14,486.99295,438.66928
169,G5141,1998-08-17,604.7942,411.08542
170,G5141,1998-08-21,482.48593,494.24753
171,G5141,1998-08-24,587.4092,531.4263
172,G5141,1998-08-28,547.7264,417.0751
173,G5141,1998-08-31,421.50043,362.17853
174,G5141,1998-09-04,385.1961,305.26575
175,G5141,1998-09-07,408.37268,320.1039
176,G5141,1998-09-11,444.16965,332.46152
177,G5141,1998-09-14,507.24133,326.8386
178,G5141,1998-09-18,433.70456,347.4102
179,G5141,1998-09-21,331.57193,313.50543
180,G5141,1998-09-25,440.83435,331.14764
181,G5141,1998-09-28,630.1102,512.06305
182,G5141,1998-10-02,739.12225,659.1674
183,G5141,1998-10-05,1013.6182,614.1465
184,G5141,1998-10-09,1024.0901,636.2472
185,G5141,1998-10-12,732.0146,561.43195
186,G5141,1998-10-16,706.5397,705.8729
187,G5141,1998-10-19,1109.9008,748.17883
188,G5141,1998-10-23,1075.0515,821.5089
189,G5141,1998-10-26,1140.1621,711.73645
190,G5141,1998-10-30,923.4437,571.18036
191,G5141,1998-11-02,606.8272,439.7441
192,G5141,1998-11-06,492.56305,384.51572
193,G5141,1998-11-09,399.41675,358.84616
194,G5141,1998-11-13,503.5027,335.42456
195,G5141,1998-11-16,512.2965,359.2008
196,G5141,1998-11-20,481.34503,291.25558
197,G5141,1998-11-23,336.81207,234.40599
198,G5141,1998-11-27,242.16801,184.70494
199,G5141,1998-11-30,199.41022,156.1384
200,G5141,1998-12-04,155.4273,124.90159
201,G5141,1998-12-07,132.42665,111.14227
202,G5141,1998-12-11,107.23253,90.41211
203,G5141,1998-12-14,91.54375,78.40012
204,G5141,1998-12-18,75.16611,68.37274
205,G5141,1998-12-21,69.78876,67.43958
206,G5141,1998-12-25,67.52693,61.996925
207,G5141,1998-12-28,61.6954,56.445087
208,G5141,1999-01-02,53.20939,50.48343
209,G5141,1999-01-05,50.20869,48.333828
210,G5141,1999-01-09,47.635834,46.987408
211,G5141,1999-01-12,46.95843,47.22716
212,G5141,1999-01-16,47.82801,50.30947
213,G5141,1999-01-19,50.694916,50.220177
214,G5141,1999-01-23,49.500244,47.404243
215,G5141,1999-01-26,47.295982,44.39455
216,G5141,1999-01-30,43.56715,41.75328
217,G5141,1999-02-02,41.666782,40.879307
218,G5141,1999-02-06,40.642883,39.72713
219,G5141,1999-02-09,39.73096,39.009293
220,G5141,1999-02-13,39.14451,39.605843
221,G5141,1999-02-16,39.468906,39.85458
222,G5141,1999-02-20,39.754086,38.71346
223,G5141,1999-02-23,38.469696,37.950645
224,G5141,1999-02-27,37.35116,37.33933
225,G5141,1999-03-02,37.626984,43.805588
226,G5141,1999-03-06,117.059105,127.930984
227,G5141,1999-03-09,184.9978,351.50357
228,G5141,1999-03-13,467.22195,498.78586
229,G5141,1999-03-16,882.26605,543.4947
230,G5141,1999-03-20,496.40146,238.18129
231,G5141,1999-03-23,236.55177,136.35359
232,G5141,1999-03-27,128.9975,318.55106
233,G5141,1999-03-30,419.0714,287.8455
234,G5141,1999-04-03,441.13794,234.78107
235,G5141,1999-04-06,287.29245,213.06668
236,G5141,1999-04-10,221.65152,158.11772
237,G5141,1999-04-13,165.59467,124.07292
238,G5141,1999-04-17,345.16193,229.63391
239,G5141,1999-04-20,531.4065,286.57104
240,G5141,1999-04-24,345.1106,286.43048
241,G5141,1999-04-27,763.9589,464.21497
242,G5141,1999-05-01,901.47876,554.9381
243,G5141,1999-05-04,1029.1792,560.1844
244,G5141,1999-05-08,660.01263,389.84113
245,G5141,1999-05-11,856.5374,508.06183
246,G5141,1999-05-15,830.94543,448.33765
247,G5141,1999-05-18,827.2849,420.83386
248,G5141,1999-05-22,731.7547,421.8
249,G5141,1999-05-25,496.5521,351.0625
250,G5141,1999-05-29,660.93994,384.72012
251,G5141,1999-06-01,560.0936,331.4357
252,G5141,1999-06-05,461.96637,298.3219
253,G5141,1999-06-08,660.08936,361.72656
254,G5141,1999-06-12,418.09924,261.047
255,G5141,1999-06-15,359.11945,242.23769
256,G5141,1999-06-19,258.1344,222.65169
257,G5141,1999-06-22,259.58603,259.77573
258,G5141,1999-06-26,424.85266,283.99103
259,G5141,1999-06-29,334.55573,211.95349
260,G5141,1999-07-03,320.69452,208.89323
261,G5141,1999-07-06,281.39935,184.54874
262,G5141,1999-07-10,309.34964,271.72174
263,G5141,1999-07-13,368.54413,249.2929
264,G5141,1999-07-17,323.54767,383.03128
265,G5141,1999-07-20,700.50244,432.8586
266,G5141,1999-07-24,485.0684,285.25006
267,G5141,1999-07-27,375.1151,252.08528
268,G5141,1999-07-31,357.46478,256.0796
269,G5141,1999-08-03,385.3307,273.4685
270,G5141,1999-08-07,410.52344,240.64398
271,G5141,1999-08-10,352.17752,325.28085
272,G5141,1999-08-14,492.83884,268.73743
273,G5141,1999-08-17,377.8151,230.85617
274,G5141,1999-08-21,277.21262,201.6591
275,G5141,1999-08-24,340.787,274.26263
276,G5141,1999-08-28,428.61365,293.40268
277,G5141,1999-08-31,449.26752,294.62552
278,G5141,1999-09-04,411.42526,260.81873
279,G5141,1999-09-07,326.57104,200.88318
280,G5141,1999-09-11,241.76115,223.67395
281,G5141,1999-09-14,384.61307,235.7915
282,G5141,1999-09-18,311.51306,238.19759
283,G5141,1999-09-21,394.7073,251.24178
284,G5141,1999-09-25,326.98666,286.455
285,G5141,1999-09-28,427.14487,390.84653
286,G5141,1999-10-02,674.7432,430.41013
287,G5141,1999-10-05,646.3219,490.00427
288,G5141,1999-10-09,572.7089,370.3012
289,G5141,1999-10-12,557.1686,484.62662
290,G5141,1999-10-16,949.6406,490.16595
291,G5141,1999-10-19,790.23193,588.90625
292,G5141,1999-10-23,739.1168,386.67715
293,G5141,1999-10-26,515.4094,371.2706
294,G5141,1999-10-30,609.8565,435.9757
295,G5141,1999-11-02,1141.4408,596.1527
296,G5141,1999-11-06,728.5016,400.63446
297,G5141,1999-11-09,483.71732,299.49744
298,G5141,1999-11-13,349.01068,302.33243
299,G5141,1999-11-16,353.41837,237.50757
300,G5141,1999-11-20,266.7213,185.11703
