,station,time,dis,dis7
0,G5145,1997-01-02,95.17776,77.251045
1,G5145,1997-01-05,83.99175,84.921524
2,G5145,1997-01-09,93.75834,76.73071
3,G5145,1997-01-12,76.93486,62.446667
4,G5145,1997-01-16,59.13177,53.199635
5,G5145,1997-01-19,56.995926,69.175995
6,G5145,1997-01-23,85.093285,83.91254
7,G5145,1997-01-26,116.04273,119.264435
8,G5145,1997-01-30,111.763405,79.61003
9,G5145,1997-02-02,80.79024,64.96612
10,G5145,1997-02-06,61.18586,52.7503
11,G5145,1997-02-09,52.814743,47.209743
12,G5145,1997-02-13,45.54692,42.202507
13,G5145,1997-02-16,42.40713,41.216125
14,G5145,1997-02-20,40.6382,39.081863
15,G5145,1997-02-23,39.08588,37.87838
16,G5145,1997-02-27,37.749153,37.488167
17,G5145,1997-03-02,38.470245,49.385513
18,G5145,1997-03-06,50.823193,45.938263
19,G5145,1997-03-09,46.36962,45.126377
20,G5145,1997-03-13,47.044426,48.808292
21,G5145,1997-03-16,47.929607,47.57804
22,G5145,1997-03-20,47.04373,55.539486
23,G5145,1997-03-23,57.760933,107.467476
24,G5145,1997-03-27,354.69797,451.16342
25,G5145,1997-03-30,641.1866,408.63937
26,G5145,1997-04-03,1071.6859,765.0421
27,G5145,1997-04-06,1136.2286,1094.7407
28,G5145,1997-04-10,1122.1338,710.4375
29,G5145,1997-04-13,970.21265,451.01862
30,G5145,1997-04-17,472.6399,315.50507
31,G5145,1997-04-20,612.2969,1082.2014
32,G5145,1997-04-24,1393.731,1033.7617
33,G5145,1997-04-27,1455.4357,1014.12946
34,G5145,1997-05-01,1236.1724,627.25684
35,G5145,1997-05-04,972.0096,541.72815
36,G5145,1997-05-08,1016.84467,713.0568
37,G5145,1997-05-11,1340.1227,728.48883
38,G5145,1997-05-15,1106.4352,667.8451
39,G5145,1997-05-18,921.6053,501.05142
40,G5145,1997-05-22,545.63385,344.15823
41,G5145,1997-05-25,677.8447,421.66574
42,G5145,1997-05-29,833.0999,439.24515
43,G5145,1997-06-01,823.8993,451.17798
44,G5145,1997-06-05,508.7383,307.89343
45,G5145,1997-06-08,378.54843,257.26736
46,G5145,1997-06-12,516.437,341.69504
47,G5145,1997-06-15,473.35742,399.51096
