"DEP_total_affect_binary"	"GEN_pcode"	"GEN_district"	"GEN_date"	"RAIN_at_day"	"RAIN_1day_before_cumulative"	"RAIN_2days_before_cumulative"	"RAIN_3days_before_cumulative"	"RAIN_4days_before_cumulative"
"583"	"1"	"21UGA015005"	"MOYO"	"2008-10-07"	5.0591867975	6.7774829275	6.8996116725	17.4163396225	24.4632291975
"584"	"1"	"21UGA015005"	"MOYO"	"2008-11-10"	1.81653473333333	4.573346225	9.13131387666667	18.1429844266667	19.1768760933333
"585"	"0"	"21UGA015005"	"MOYO"	"2009-09-20"	0.03541382	3.12785792	15.60277852	16.23386358	18.93671325
"586"	"1"	"21UGA015005"	"MOYO"	"2011-02-01"	5.2371589	5.2371589	5.2371589	5.2371589	5.2371589
"587"	"1"	"21UGA015005"	"MOYO"	"2011-08-01"	1.92135953	1.92135953	16.47118244	38.61999574	49.16400254
"588"	"1"	"21UGA015005"	"MOYO"	"2011-09-12"	2.258127636	11.125567888	17.21849666	27.68296569	33.110252282
"589"	"1"	"21UGA015005"	"MOYO"	"2014-04-13"	10.0309446	14.28247517	17.68815239	17.68815239	17.68815239
"590"	"1"	"21UGA015005"	"MOYO"	"2014-11-11"	0	0	1.86603131	3.68186091	6.83793897
"591"	"1"	"21UGA015005"	"MOYO"	"2014-11-27"	14.625052125	15.61965885	18.64062026	27.6916194225	35.7815805225
"592"	"1"	"21UGA015005"	"MOYO"	"2017-11-20"	0	0	0	0	0
"201"	"0"	"21UGA006009"	"SIRONKO"	"2002-06-01"	0	0	0	0	0
"202"	"1"	"21UGA006009"	"SIRONKO"	"2006-08-06"	21.379256	32.36109859	42.13859998	45.94098378	45.94098378
"203"	"1"	"21UGA006009"	"SIRONKO"	"2007-07-30"	43.8576738	68.8917178	82.28411744	95.88829968	101.78972673
"204"	"1"	"21UGA006009"	"SIRONKO"	"2007-08-08"	23.34111067	23.34111067	23.34111067	23.34111067	24.93879406
"205"	"0"	"21UGA006009"	"SIRONKO"	"2007-08-31"	13.8565426	15.0281875	25.0532995	31.8547222	36.9557257
"206"	"1"	"21UGA006009"	"SIRONKO"	"2007-09-28"	36.22669851	36.22669851	36.22669851	38.84232352	50.43456187
"207"	"1"	"21UGA006009"	"SIRONKO"	"2008-06-02"	3.822395	4.9424093	8.62195932	15.70233542	49.1768795
"208"	"1"	"21UGA006009"	"SIRONKO"	"2010-03-15"	0	0	0	0	0
"209"	"1"	"21UGA006009"	"SIRONKO"	"2010-05-14"	28.8678064	38.154095	59.5755134	84.2185723	89.2910973
"210"	"1"	"21UGA006009"	"SIRONKO"	"2010-05-25"	0	25.94002804	25.94002804	34.52033634	35.42784057
"211"	"1"	"21UGA006009"	"SIRONKO"	"2011-09-16"	6.37530143	13.69672081	16.6852458645455	18.1319578318182	20.4280511081818
"212"	"1"	"21UGA006009"	"SIRONKO"	"2013-11-01"	0.590840633333333	0.590840633333333	1.58993776555556	22.3664589433333	22.8180423544444
"213"	"1"	"21UGA006009"	"SIRONKO"	"2013-11-10"	22.38537583	24.15666808	26.89859934	26.89859934	26.89859934
"214"	"1"	"21UGA006009"	"SIRONKO"	"2014-06-04"	10.316149325	10.316149325	26.33021653	33.085405305	38.2536778
"215"	"1"	"21UGA006009"	"SIRONKO"	"2016-01-04"	0	0	0	0	0
"216"	"1"	"21UGA006009"	"SIRONKO"	"2016-05-16"	1.94061437571429	10.0451548257143	15.3237441771429	23.0008222657143	37.1261302828571
"217"	"1"	"21UGA006009"	"SIRONKO"	"2016-11-02"	2.34878272	2.34878272	2.34878272	2.34878272	2.34878272
"504"	"1"	"21UGA013009"	"SOROTI"	"2007-09-15"	11.6156956	22.1201021	36.9557221	44.458827	65.47259
"505"	"1"	"21UGA013009"	"SOROTI"	"2008-06-02"	20.533173	23.1419342	38.44873208	53.75552998	59.31933898
"506"	"1"	"21UGA013009"	"SOROTI"	"2010-11-06"	0.60697165	2.37265283	11.25968123	11.35597107	17.74881407
"507"	"0"	"21UGA013009"	"SOROTI"	"2011-03-27"	11.7384524	11.84635633	11.84635633	18.54065737	24.89011057
"508"	"1"	"21UGA013009"	"SOROTI"	"2011-09-07"	7.2143924	12.34178116	20.87714216	30.69010998	32.18776894
"509"	"1"	"21UGA013009"	"SOROTI"	"2011-10-02"	3.70856485	8.43738535	12.11919275	20.21010985	21.07830838
"510"	"0"	"21UGA013009"	"SOROTI"	"2012-08-02"	0	15.72019703	26.577859	26.92030369	27.25839899
"511"	"0"	"21UGA013009"	"SOROTI"	"2012-08-27"	20.295827	20.295827	25.59815422	25.59815422	26.74279105
"512"	"0"	"21UGA013009"	"SOROTI"	"2012-09-30"	8.52683037	8.52683037	10.21775699	24.41873288	38.57270688
"513"	"1"	"21UGA013009"	"SOROTI"	"2013-05-06"	20.0920899	25.8968855	33.7200822	40.3521758	47.82303382
"514"	"1"	"21UGA013009"	"SOROTI"	"2013-09-02"	19.5809036	31.9626546	34.10655221	48.29360031	48.29360031
"515"	"1"	"21UGA013009"	"SOROTI"	"2015-12-09"	2.1201662	6.87180461	7.48117851	15.52646581	23.73505069
