ID,Country,station,location,lon,lat,rl2,rl5,rl10,rl20,Q10,Q20,Q30,Q50,Q80,Q90
G1057,Guinea,G1057,Kouroussa,-9.85,10.65,,,,,,,,,,
G1058,Ghana,G1058,Lawra,-2.95,10.75,,,,,,,,,,
G1059,Ghana,G1059,Pwalagu,-0.85,10.55,,,,,,,,,,
G1060,Chad,G1060,Bongor,15.05,10.85,,,,,,,,,,
G1061,Ghana,G1061,Yagaba,-1.35,10.25,,,,,,,,,,
G1062,Benin,G1062,Porga,1.05,11.05,,,,,,,,,,
G1063,Cote d'Ivoire,G1063,Kouto Amont,-6.35,9.85,,,,,,,,,,
G1064,Ghana,G1064,Nawuni,-0.95,9.75,,,,,,,,,,
G1065,Cote d'Ivoire,G1065,Kafolo,-4.25,9.55,,,,,,,,,,
G1066,Chad,G1066,Lai,16.45,9.15,,,,,,,,,,
G1067,Ethiopia,G1067,Melka Sedi,40.15,9.15,1357.0552978515625,1614.9195556640625,1837.9166259765625,1949.4151611328125,933.417431640625,993.5382324218749,1016.7693115234374,1167.7474365234375,1376.22578125,1511.299609375
G1068,Ghana,G1068,Sabari,0.25,9.25,,,,,,,,,,
G1070,Benin,G1070,Pont De Beterou,2.25,9.15,,,,,,,,,,
G1071,Cote d'Ivoire,G1071,Vonkoro,-2.75,9.95,,,,,,,,,,
G1072,Chad,G1072,Sarh Fort Archambault,18.85,8.85,,,,,,,,,,
G1073,Chad,G1073,Manda,17.95,8.95,,,,,,,,,,
G1074,Ethiopia,G1074,Metahara,39.95,8.85,671.7372436523438,811.9560546875,933.2151285807291,993.8446655273438,495.948828125,499.2706115722656,541.6670043945312,587.9407958984375,711.0654907226562,825.9716064453125
G1076,Cote d'Ivoire,G1076,Dabala,-7.15,8.45,,,,,,,,,,
G1077,Nigeria,G1077,Ibi,9.75,8.15,,,,,,,,,,
G1078,Ghana,G1078,Bamboi,-2.05,8.15,,,,,,,,,,
G1081,Benin,G1081,Pont De Save,2.35,8.05,,,,,,,,,,
G1082,Cote d'Ivoire,G1082,Serebou,-4.05,8.05,,,,,,,,,,
G1083,Nigeria,G1083,Lokoja,6.75,7.75,,,,,,,,,,
G1084,Cote d'Ivoire,G1084,Fetekro,-4.75,7.85,,,,,,,,,,
G1085,Cote d'Ivoire,G1085,Semien,-7.05,7.75,,,,,,,,,,
G1086,Central African Republic,G1086,Batangafo,18.15,7.45,,,,,,,,,,
G1087,Benin,G1087,Sagon,2.45,7.25,,,,,,,,,,
G1088,Cote d'Ivoire,G1088,Bouafle,-5.95,7.15,,,,,,,,,,
G1089,Togo,G1089,Athieme,1.55,6.85,,,,,,,,,,
G1090,Benin,G1090,Bonou,2.45,6.95,,,,,,,,,,
G1091,Cote d'Ivoire,G1091,Aniassue,-3.75,6.95,,,,,,,,,,
G1092,Central African Republic,G1092,Bac Bea,16.85,6.45,,,,,,,,,,
G1093,Central African Republic,G1093,Bossangoa,17.45,6.45,,,,,,,,,,
G1097,Cote d'Ivoire,G1097,Mbasso,-3.55,6.35,,,,,,,,,,
G1098,Cote d'Ivoire,G1098,Bafecao,-5.25,6.35,,,,,,,,,,
G1099,Cote d'Ivoire,G1099,Zienoa,-4.75,6.15,,,,,,,,,,
G1103,Cote d'Ivoire,G1103,Tiassale,-4.85,5.85,,,,,,,,,,
G1106,Cote d'Ivoire,G1106,Soubre,-6.65,5.75,,,,,,,,,,
G1108,Ghana,G1108,Daboasi,-1.65,5.15,,,,,,,,,,
G1109,Central African Republic,G1109,Zemio,25.15,5.05,,,,,,,,,,
G1111,Central African Republic,G1111,Loungoumba,22.65,4.75,,,,,,,,,,
G1112,Central African Republic,G1112,Bangassou,23.65,4.75,,,,,,,,,,
G1113,Central African Republic,G1113,Bossele Bali,18.45,4.55,,,,,,,,,,
G1114,Cote d'Ivoire,G1114,Tate,-7.55,4.45,,,,,,,,,,
G1115,Central African Republic,G1115,Bangui,18.65,4.35,,,,,,,,,,
G1117,Central African Republic,G1117,M Bata,18.25,3.65,,,,,,,,,,
G1122,Central African Republic,G1122,Salo,16.05,3.45,,,,,,,,,,
G1180,Congo,G1180,Kinshasa,15.65,-4.05,,,,,,,,,,
G1216,Tanzania,G1216,Morogoro Road Bridge 55223108,38.65,-6.75,,,,,,,,,,
G1264,Zambia,G1264,Near Chibote,29.45,-9.55,346.6451416015625,425.60699462890625,493.89198811848956,528.0344848632812,241.60043334960938,280.9081298828125,289.43890991210935,308.49859619140625,399.4987731933594,443.36024169921876
G1265,Zambia,G1265,Chunga Ranch,32.05,-9.85,184.0177764892578,256.07818603515625,318.39491780598956,349.55328369140625,115.93452606201173,127.16395416259766,147.87011108398437,169.36175537109375,243.06576538085938,300.92571411132815
G1269,Zambia,G1269,Mbesuma Pontoon 60773245,32.15,-9.85,288.4150695800781,403.3037414550781,502.6576843261719,552.3346557617188,166.42393188476564,181.84547729492186,190.71876831054686,225.79034423828125,267.84135742187505,349.45821533203133
G1271,Zambia,G1271,Pump House,30.95,-10.15,216.46839904785156,296.72369384765625,366.12725830078125,400.82904052734375,147.7989685058594,160.60328369140626,180.9225616455078,199.22943115234375,247.04619750976565,305.92756958007817
G1277,Malawi,G1277,Phewzi 65312414,33.95,-10.95,743.7384643554688,957.0242919921875,1141.4704996744792,1233.693603515625,495.59514160156255,544.4781494140625,581.4293823242188,679.8904418945312,896.8536376953125,918.7311035156249
G1279,Zambia,G1279,Old Pontoon,31.15,-10.95,459.03570556640625,659.9766845703125,833.747314453125,920.6326293945312,271.55686035156253,333.305126953125,415.010986328125,458.0617980957031,611.9331054687501,766.2880004882813
G1294,Zambia,G1294,Chembe Ferry,28.75,-11.95,2107.733154296875,2857.3935546875,3505.6881510416665,3829.83544921875,1487.1815673828125,1739.6475341796875,1861.7582275390623,2188.171142578125,2997.880126953125,3623.587353515625
G1299,Zambia,G1299,Konikombe Hills 60334460,26.75,-12.25,34.977134704589844,45.58916473388672,54.766283671061196,59.35484313964844,,,,,,
G1304,Mozambique,G1304,Est  Nairoto Montepuz 58262047,39.05,-12.55,,,,,,,,,,
G1307,Malawi,G1307,S53 Roadbridge 65312601,34.15,-12.85,202.4845733642578,340.8895263671875,460.57999674479163,520.4252319335938,99.4930923461914,110.24076080322266,142.06855163574218,165.60633850097656,307.1379089355469,342.73544311523443
G1310,Zambia,G1310,Katete Boma,32.75,-13.25,3.492480754852295,5.508696556091309,7.252288500467936,8.12408447265625,,,,,,
G1312,Zambia,G1312,Mpatamato,28.15,-13.15,248.51084899902344,359.69268798828125,455.84100341796875,503.9151611328125,137.7639404296875,171.49689025878908,227.63823242187502,279.6448059082031,386.8263916015625,479.6326599121095
G1314,Zambia,G1314,Ndubeni,27.85,-13.35,371.3804931640625,525.1434936523438,658.1153361002604,724.6012573242188,254.92413940429685,279.3909851074219,307.5778869628906,373.29144287109375,576.2219116210938,673.2456665039062
G1315,Zambia,G1315,Manyinga,24.25,-13.45,4.457969665527344,7.815142631530762,10.71837329864502,12.169988632202148,,,,,,
G1319,Zambia,G1319,Kabompo Pontoon 60380051,24.25,-13.55,1303.49951171875,1611.77783203125,1878.3722330729165,2011.66943359375,1030.204443359375,1072.32666015625,1104.291357421875,1226.3382568359375,1740.6998291015625,1825.4255126953126
G1320,Zambia,G1320,Kafironda,27.65,-13.65,496.33416748046875,704.659912109375,884.8168131510416,974.895263671875,339.8867919921875,381.04443359375,404.58953247070315,507.8961486816406,805.6438232421876,883.24775390625
G1321,Zambia,G1321,Machiya Ferry 60334280,27.65,-13.65,496.33416748046875,704.659912109375,884.8168131510416,974.895263671875,339.8867919921875,381.04443359375,404.58953247070315,507.8961486816406,805.6438232421876,883.24775390625
G1323,Zambia,G1323,Kelongwa School 60334550,26.35,-13.65,639.7056274414062,852.1246337890625,1035.8213297526042,1127.669677734375,475.19970703125,512.0896606445312,564.8833740234375,704.6580200195312,885.4138916015625,1007.9121948242188
G1328,Zambia,G1328,Lukulu 60370030,23.15,-14.45,3967.6015625,5365.53466796875,6574.445475260416,7178.90087890625,2096.13330078125,2887.66650390625,3284.496875,4381.62744140625,6025.842382812501,6460.93310546875
G1329,Zambia,G1329,Mswebi,27.05,-14.45,1062.3619384765625,1588.392822265625,2043.296142578125,2270.747802734375,609.4202880859375,763.8027221679688,852.600537109375,1079.5706787109375,1560.5156982421877,2151.8987304687503
G1331,Zambia,G1331,Lubungu 60334450,26.55,-14.45,1123.381591796875,1662.287109375,2128.3243815104165,2361.343017578125,638.787646484375,835.4962890625,876.9525268554687,1149.1610107421875,1652.2497070312502,2272.5076171875003
G1338,Zambia,G1338,Kafue Hook Bridge 60334669,25.95,-14.95,2079.747802734375,2860.599853515625,3535.868733723958,3873.503173828125,1369.2315673828125,1712.0094970703126,1916.37734375,2150.421142578125,3111.7400878906255,3738.725341796875
G1339,Zambia,G1339,Kalabo,22.65,-14.95,404.78009033203125,651.1028442382812,864.1189575195312,970.6270141601562,86.47671508789062,158.65665283203126,201.4255432128906,365.3684387207031,678.3331665039063,808.4456176757812
G1340,Zambia,G1340,Luangwa Road Bridge 60332040,30.25,-15.15,4425.7900390625,6352.513671875,8018.714192708333,8851.814453125,2970.7830078125,3092.272998046875,3258.451318359375,4024.69384765625,6159.19091796875,6745.353222656249
G1343,Zambia,G1343,Great North Road Bridge,28.05,-15.15,16.925533294677734,25.23548126220703,32.42179616292318,36.01495361328125,,,,,,
G1344,Zambia,G1344,Ngwerere Confluence,28.55,-15.25,35.05489730834961,56.78169250488281,75.57068888346353,84.9651870727539,15.077784729003906,20.673128509521483,24.556168365478516,29.146162033081055,43.35381317138673,52.12473907470704
G1351,Zambia,G1351,Nyimba,27.45,-15.75,1708.3863525390625,2496.3955078125,3177.8536783854165,3518.582763671875,1055.3731689453125,1201.455419921875,1306.9603271484375,1631.961181640625,2775.7634765625003,3183.7187988281253
G1352,Zambia,G1352,Itezhi Tezhi,26.05,-15.75,1529.986083984375,2216.591064453125,2810.356526692708,3107.2392578125,1017.1905273437501,1132.5787841796875,1211.7851806640624,1393.9801025390625,2517.5476074218755,2821.6260742187505
G1353,Zambia,G1353,Kasaka 60334977,28.25,-15.85,1709.01611328125,2522.5263671875,3226.037434895833,3577.79296875,1059.387451171875,1253.57451171875,1339.1286376953126,1758.097412109375,2845.9666503906255,3189.439208984375
G1361,Zambia,G1361,Senanga 60370001,23.25,-16.05,4374.390625,6162.69287109375,7709.189290364583,8482.4375,2163.964892578125,2945.570849609375,3692.1080078124996,4902.20751953125,7059.055859375,7713.772753906251
G1363,Mozambique,G1363,Matundo Cais 58316087,30.55,-15.65,,,,,,,,,,
G1372,Namibia,G1372,Ruacana 64740001,14.15,-17.45,,,,,,,,,,
G1373,Namibia,G1373,Katima Mulilo 64370001,24.35,-17.45,,,,,,,,,,
G1374,Zimbabwe,G1374,Copper Queen C S 63341059,29.35,-17.45,,,,,,,,,,
G1378,Namibia,G1378,Kongola,23.35,-17.65,,,,,,,,,,
G1381,Namibia,G1381,Rundu 64932101,19.65,-17.85,,,,,,,,,,
G1382,Botswana,G1382,Mukwe 64932102,23.35,-19.85,,,,,,,,,,
G1387,Botswana,G1387,Mohembo Mtaembo 67932112,21.85,-18.35,,,,,,,,,,
G1389,Zimbabwe,G1389,Dahlia Control Section 63351138,27.15,-18.55,,,,,,,,,,
G1391,Namibia,G1391,Sesfontein,13.55,-19.25,,,,,,,,,,
G1392,Zimbabwe,G1392,Condo D S G W 63422121,31.95,-19.15,,,,,,,,,,
G1398,Botswana,G1398,Boro Junction 67932113,23.45,-19.95,,,,,,,,,,
G1399,Botswana,G1399,Samedupe 67922012,23.55,-20.15,,,,,,,,,,
G1400,Botswana,G1400,Bund 67932115,23.25,-20.15,,,,,,,,,,
G1403,Botswana,G1403,Maun Bridge 67932114,23.35,-20.05,,,,,,,,,,
G1404,Namibia,G1404,Vingerklip  64734002,15.45,-20.45,,,,,,,,,,
G1405,Botswana,G1405,Rakops 67922022,24.35,-20.95,,,,,,,,,,
G1406,Namibia,G1406,Ugab Slab  64734003,13.75,-21.15,,,,,,,,,,
G1413,Botswana,G1413,Tobane D S 67536021,27.95,-21.85,,,,,,,,,,
G1414,Botswana,G1414,Tobane U S 67536031,28.05,-21.55,,,,,,,,,,
G1415,Zimbabwe,G1415,Beitbridge Pumpstation C S 63533035,30.25,-22.35,,,,,,,,,,
G1417,South Africa,G1417,Beitbrug U S,30.05,-22.25,,,,,,,,,,
G1418,South Africa,G1418,Beibrug D S,30.05,-22.25,,,,,,,,,,
G1420,South Africa,G1420,Botswana Oxenham Ranch,28.15,-22.75,,,,,,,,,,
G1422,Namibia,G1422,Rooibank  64731011,14.75,-23.25,,,,,,,,,,
G1426,Mozambique,G1426,Combomune 58510033,32.65,-24.15,,,,,,,,,,
G1427,Namibia,G1427,Gobabeb,15.15,-23.65,,,,,,,,,,
G1429,South Africa,G1429,Finale 27521009,30.85,-24.25,,,,,,,,,,
G1431,Mozambique,G1431,Sicacate 58510036,33.55,-24.85,,,,,,,,,,
G1433,South Africa,G1433,Loskop Noord 27527001,29.35,-24.95,,,,,,,,,,
G1434,Namibia,G1434,Gochas,18.55,-24.45,,,,,,,,,,
G1436,South Africa,G1436,Tenbosch 27613216,31.95,-25.35,,,,,,,,,,
G1437,Mozambique,G1437,Ressano Garcia C F  58613123,31.95,-25.45,,,,,,,,,,
G1441,Namibia,G1441,Tses 64812009,17.85,-26.05,,,,,,,,,,
G1443,Swaziland,G1443,Siphofaneni 68632206,31.65,-26.65,,,,,,,,,,
G1444,Namibia,G1444,Seeheim 64812008,17.75,-26.85,,,,,,,,,,
G1445,South Africa,G1445,Elandsfontein Engelbrechtsdrift,27.95,-26.75,,,,,,,,,,
G1447,South Africa,G1447,Slabberts 27817822,28.45,-27.25,,,,,,,,,,
G1450,South Africa,G1450,Taung 27817303,24.75,-27.55,,,,,,,,,,
G1453,Namibia,G1453,Ai Ais 64812014,17.45,-27.95,,,,,,,,,,
G1454,South Africa,G1454,Upington,20.85,-28.75,,,,,,,,,,
G1455,South Africa,G1455,De Hoop 65,24.55,-28.55,,,,,,,,,,
G1457,South Africa,G1457,Vioolsdrif 27811003,17.65,-28.75,,,,,,,,,,
G1459,South Africa,G1459,Mandini 27661102,31.45,-29.25,,,,,,,,,,
G1460,South Africa,G1460,Marksdrift 27815208,23.65,-29.15,,,,,,,,,,
G1465,South Africa,G1465,Prieska 27815102,22.75,-29.65,,,,,,,,,,
G1466,South Africa,G1466,Vluytjeskraal 27815205,23.85,-29.35,,,,,,,,,,
G1469,Lesotho,G1469,Whitehall 66819304,28.25,-30.05,,,,,,,,,,
G1471,South Africa,G1471,Oranjedraai 27819109,27.15,-30.55,,,,,,,,,,
G1472,Lesotho,G1472,Seaka Bridge 66819303,27.45,-30.35,,,,,,,,,,
G1473,South Africa,G1473,Hol Pads Leegte 27814016,21.05,-29.75,,,,,,,,,,
G1475,South Africa,G1475,Aliwal Noord 27819103,26.55,-30.65,,,,,,,,,,
G1476,South Africa,G1476,Windhoek 27814013,21.25,-31.35,,,,,,,,,,
G1488,South Africa,G1488,Brandt Legte Piggot S Bridge,26.55,-33.15,,,,,,,,,,
G1490,South Africa,G1490,Matolema S Location Outspan,27.05,-33.45,,,,,,,,,,
G1493,South Africa,G1493,Grootrivierspoort 27691206,24.65,-33.75,,,,,,,,,,
G1603,Ethiopia,G1603,Gambella,34.95,8.25,2075.628662109375,2574.728759765625,3006.343017578125,3222.150146484375,1301.50791015625,1325.52060546875,1386.91630859375,1682.203857421875,2244.362939453125,2422.6116210937503
G1604,Somalia,G1604,Luuq,42.55,3.85,,,,,,,,,,
G1605,Somalia,G1605,Bardheere,42.25,2.35,,,,,,,,,,
G1606,Somalia,G1606,Beletweyne,45.25,4.65,,,,,,,,,,
G1607,Somalia,G1607,Bulo Burti,45.55,3.85,,,,,,,,,,
G1608,South Africa,G1608,Orange Rivier At Vioolsdrif,17.55,-28.75,,,,,,,,,,
G1609,South Africa,G1609,Orange River At Goodhouse,18.15,-28.95,,,,,,,,,,
G1610,South Africa,G1610,Orange River At Pella Mission,19.05,-28.95,,,,,,,,,,
G1611,South Africa,G1611,Orange River At Onseepkans,19.25,-28.85,,,,,,,,,,
G1612,South Africa,G1612,Orange River At Kakamas South,20.25,-28.55,,,,,,,,,,
G1613,South Africa,G1613,Orange River At Kakamas,20.55,-28.75,,,,,,,,,,
G1614,South Africa,G1614,Orange River At Kakamas South Neusberg,20.65,-28.75,,,,,,,,,,
G1615,South Africa,G1615,Orange River At Kanon Island,20.55,-28.75,,,,,,,,,,
G1616,South Africa,G1616,Orange River At Kanon Island,20.55,-28.75,,,,,,,,,,
G1617,South Africa,G1617,Orange River At Boegoeberg Dam Res,22.15,-28.95,,,,,,,,,,
G1618,South Africa,G1618,Orange River At Rietfontein,22.25,-29.25,,,,,,,,,,
G1619,South Africa,G1619,Orange River At Irene,22.85,-29.65,,,,,,,,,,
G1620,South Africa,G1620,Vaal River At Schmidtsdrif,23.95,-28.95,,,,,,,,,,
G1621,South Africa,G1621,Vaal River At Gamagara,23.95,-28.85,,,,,,,,,,
G1622,South Africa,G1622,Vaal River At De Hoop 65,24.55,-28.55,,,,,,,,,,
G1623,South Africa,G1623,Vaal River At Riverton,24.55,-28.55,,,,,,,,,,
G1624,South Africa,G1624,Vaal River At Schoolplaats,24.75,-28.45,,,,,,,,,,
G1625,South Africa,G1625,Vaal River At Port Arlington,25.35,-27.75,,,,,,,,,,
G1626,South Africa,G1626,Limpopo River At Botswana,28.05,-22.85,,,,,,,,,,
G1627,South Africa,G1627,Vaal River At Klipplaatdrift,26.15,-27.55,,,,,,,,,,
G1628,South Africa,G1628,Orange River At Roodepoort,25.15,-30.45,,,,,,,,,,
G1629,South Africa,G1629,Vaal River At Pilgrims Estate,26.65,-27.05,,,,,,,,,,
G1630,South Africa,G1630,Olifants River At Kruger National Park,31.85,-24.05,,,,,,,,,,
G1631,South Africa,G1631,Olifants River At Kruger National Park,31.45,-24.05,,,,,,,,,,
G1632,South Africa,G1632,Vaal River At De Vaal,27.05,-26.95,,,,,,,,,,
G1633,South Africa,G1633,Vaal River At Woodlands,27.05,-26.95,,,,,,,,,,
G1634,South Africa,G1634,Vaal River At Woodlands,27.25,-26.95,,,,,,,,,,
G1635,South Africa,G1635,Olifants River At Oxford,31.15,-24.05,,,,,,,,,,
G1636,South Africa,G1636,Gourits River At Zeekoedrift,21.65,-33.95,,,,,,,,,,
G1637,South Africa,G1637,Vaal River At Annie S Rust,28.05,-26.85,,,,,,,,,,
G1638,South Africa,G1638,Na,23.95,-29.05,,,,,,,,,,
G1639,South Africa,G1639,Riet River At Estate Biesiesbult,24.25,-28.95,,,,,,,,,,
G1640,South Africa,G1640,Riet River At Klipdrift,24.55,-29.05,,,,,,,,,,
G1641,South Africa,G1641,Harts River At Lloyds,24.35,-28.35,,,,,,,,,,
G1642,South Africa,G1642,Faure Crocodile River,26.95,-24.25,,,,,,,,,,
G1643,South Africa,G1643,Groot River At Sandpoort,24.65,-33.45,,,,,,,,,,
G1644,South Africa,G1644,Harts River At Spitskop,24.45,-28.25,,,,,,,,,,
G1645,South Africa,G1645,Olifants River At Tambotieboom,29.45,-24.65,,,,,,,,,,
G1646,South Africa,G1646,Harts River At Espagsdrif,24.55,-28.05,,,,,,,,,,
G1647,South Africa,G1647,Doring River At Melkboom,18.65,-31.85,,,,,,,,,,
G1648,South Africa,G1648,Krokodil River At Haakdoringdrift,27.45,-24.65,,,,,,,,,,
G1649,South Africa,G1649,Krokodil River At Haakdoringdrift,27.45,-24.65,,,,,,,,,,
G1650,South Africa,G1650,Komati River At Komatipoort,32.25,-25.45,,,,,,,,,,
G1651,South Africa,G1651,Krokodil River At Hardekoolbult,27.45,-24.75,,,,,,,,,,
G1652,South Africa,G1652,Krokodil River At Nooitgedacht,27.55,-24.95,,,,,,,,,,
G1653,South Africa,G1653,Harts River At Tlapeng,24.65,-27.65,,,,,,,,,,
G1654,South Africa,G1654,Mzimvubu River At Ntontela,29.45,-31.55,,,,,,,,,,
G1655,South Africa,G1655,Great Fish River At Sout Vleij,25.95,-33.05,,,,,,,,,,
G1656,South Africa,G1656,Vaal River At Villiers,28.45,-26.95,,,,,,,,,,
G1657,South Africa,G1657,Modder River At Twee River,24.65,-29.05,,,,,,,,,,
G1658,South Africa,G1658,Modder River At Tweeriviere,24.65,-29.05,,,,,,,,,,
G1659,South Africa,G1659,Sak River At Williston,20.65,-31.15,,,,,,,,,,
G1660,South Africa,G1660,Vet River At Fizantkraal,25.95,-27.85,,,,,,,,,,
G1661,South Africa,G1661,Mogalakwena River At Leniesrus,28.85,-22.55,,,,,,,,,,
G1662,South Africa,G1662,Wilge River At Frankfort,28.35,-27.15,,,,,,,,,,
G1663,South Africa,G1663,Vaal River At Nooitgedacht,28.75,-27.05,,,,,,,,,,
G1664,South Africa,G1664,Wilge River At Slabberts,28.55,-27.35,,,,,,,,,,
G1665,South Africa,G1665,Caledon River At Welbedacht,26.85,-30.05,,,,,,,,,,
G1666,South Africa,G1666,Mogalakwena River At Leniesrus,28.85,-22.65,,,,,,,,,,
G1667,South Africa,G1667,Sondags River At De Draay,25.05,-33.15,,,,,,,,,,
G1668,South Africa,G1668,Letaba River At Kruger National Park,31.65,-23.85,,,,,,,,,,
G1669,South Africa,G1669,Tugela River At Tugela Ferry,30.45,-28.75,,,,,,,,,,
G1670,South Africa,G1670,Caledon River At Wilgerdraai,27.05,-29.65,,,,,,,,,,
G1671,South Africa,G1671,Tugela River At Impafana Loc,30.35,-28.75,,,,,,,,,,
G1672,South Africa,G1672,Groot River At Buffelsfontein,21.55,-33.75,,,,,,,,,,
G1673,South Africa,G1673,Olifants River At Loskop Nat  Res,29.35,-25.35,,,,,,,,,,
G1674,South Africa,G1674,Sondags River At Jansenville,24.65,-32.95,,,,,,,,,,
G1675,South Africa,G1675,Mogalakwena River At Glen Alpine,28.65,-23.25,,,,,,,,,,
G1676,South Africa,G1676,Komati River At M Weti,31.95,-25.55,,,,,,,,,,
G1677,South Africa,G1677,Olifants River At Warm Water,21.75,-33.65,,,,,,,,,,
G1678,South Africa,G1678,Great Fish River At Rietfontyn,25.55,-32.05,,,,,,,,,,
G1679,South Africa,G1679,Orange River At Lesotho,28.35,-30.05,,,,,,,,,,
G1680,South Africa,G1680,Great Letaba River At Kruger National Park,31.35,-23.75,,,,,,,,,,
