ID,Country,station,location,lon,lat,rl2,rl5,rl10,rl20,Q10,Q20,Q30,Q50,Q80,Q90
G0814,Algeria,G0814,Sidi Belatar,0.45,35.95,,,,,,,,,,
G0959,Mali,G0959,Tossaye,-3.55,16.15,,,,,,,,,,
G0960,Mali,G0960,Koryoume,-3.05,16.65,,,,,,,,,,
G0963,Mali,G0963,Goundam,-3.65,16.45,,,,,,,,,,
G0966,Mali,G0966,Dire,-3.35,16.25,,,,,,,,,,
G0968,Mali,G0968,Tonka,-3.75,16.15,,,,,,,,,,
G0970,Mali,G0970,Sarafere,-3.65,15.85,,,,,,,,,,
G0976,Mali,G0976,Ansongo,0.45,15.65,,,,,,,,,,
G0979,Mali,G0979,Akka,-4.25,15.45,,,,,,,,,,
G0988,Mali,G0988,Bakel,-11.55,14.45,,,,,,,,,,
G0990,Niger,G0990,Alcongui,0.25,14.85,,,,,,,,,,
G0991,Niger,G0991,Kandadji,0.95,14.65,,,,,,,,,,
G0994,Mali,G0994,Nantaka  Mopti,-4.15,14.65,,,,,,,,,,
G0995,Mali,G0995,Kayes,-11.35,14.35,,,,,,,,,,
G0996,Senegal,G0996,Kidira,-12.25,14.35,,,,,,,,,,
G0998,Mali,G0998,Kabate,-9.05,16.75,,,,,,,,,,
G0999,Mali,G0999,Kara,-5.05,14.15,,,,,,,,,,
G1000,Mali,G1000,Tilembeya,-4.55,14.25,,,,,,,,,,
G1001,Mali,G1001,Sofara,-4.15,14.25,,,,,,,,,,
G1002,Mali,G1002,Ke Macina,-5.25,13.95,,,,,,,,,,
G1003,Mali,G1003,Galougo,-10.85,13.85,,,,,,,,,,
G1004,Niger,G1004,Garb̩ Kourou,1.45,13.65,,,,,,,,,,
G1005,Mali,G1005,Kirango Aval,-6.05,13.75,,,,,,,,,,
G1007,Niger,G1007,Niamey,2.05,13.55,,,,,,,,,,
G1008,Senegal,G1008,Gouloumbou,-13.75,13.45,,,,,,,,,,
G1009,Mali,G1009,Toukoto,-9.75,13.35,,,,,,,,,,
G1010,Mali,G1010,Beneny Kegny,-4.95,13.35,,,,,,,,,,
G1011,Mali,G1011,Oualia,-9.95,13.55,,,,,,,,,,
G1012,Senegal,G1012,Wassadou Amont,-13.35,13.25,,,,,,,,,,
G1013,Senegal,G1013,Wassadou Aval,-13.55,13.25,,,,,,,,,,
G1014,Mali,G1014,Siramakana,-9.05,14.25,,,,,,,,,,
G1015,Mali,G1015,Gourbassy,-11.55,13.15,,,,,,,,,,
G1016,Mali,G1016,Douna,-5.85,13.25,,,,,,,,,,
G1017,Mali,G1017,Dibia,-10.75,13.25,,,,,,,,,,
G1018,Senegal,G1018,Simenti,-13.35,13.05,,,,,,,,,,
G1019,Nigeria,G1019,Geidam,11.65,13.05,,,,,,,,,,
G1020,Niger,G1020,Diongore Amont,2.15,12.95,,,,,,,,,,
G1022,Senegal,G1022,Mako,-12.45,12.75,,,,,,,,,,
G1023,Mali,G1023,Koulikoro,-7.55,12.85,,,,,,,,,,
G1024,Nigeria,G1024,Gashua,11.85,12.85,,,,,,,,,,
G1026,Nigeria,G1026,Kasaga,10.35,12.85,,,,,,,,,,
G1027,Nigeria,G1027,Likori,10.35,12.55,,,,,,,,,,
G1028,Niger,G1028,W,2.65,12.55,,,,,,,,,,
G1029,Mali,G1029,Dioila,-6.65,12.55,,,,,,,,,,
G1031,Nigeria,G1031,Dapchi,11.75,12.65,,,,,,,,,,
G1032,Nigeria,G1032,Hadejia,10.05,12.45,,,,,,,,,,
G1034,Mali,G1034,Bafing Makana,-10.35,12.35,,,,,,,,,,
G1035,Nigeria,G1035,Katagum,10.35,12.25,,,,,,,,,,
G1036,Nigeria,G1036,Kafin Hausa,9.95,12.35,,,,,,,,,,
G1037,Mali,G1037,Daka Saydou,-10.75,11.75,,,,,,,,,,
G1038,Chad,G1038,Ndjamena Fort Lamy,15.05,12.05,,,,,,,,,,
G1039,Chad,G1039,Chagoua,15.05,12.05,,,,,,,,,,
G1040,Mali,G1040,Kouoro 2,-5.65,11.95,,,,,,,,,,
G1041,Mali,G1041,Gouala,-8.25,11.95,,,,,,,,,,
G1042,Benin,G1042,Malanville,3.35,11.85,,,,,,,,,,
G1043,Nigeria,G1043,Wudil,8.75,11.75,,,,,,,,,,
G1044,Benin,G1044,Couberi,3.35,11.75,,,,,,,,,,
G1045,Ethiopia,G1045,Tendaho,40.95,11.75,1403.3258056640625,1832.59033203125,2203.8116861979165,2389.42236328125,922.6076782226563,938.5149169921875,995.7293334960938,1088.762451171875,1432.769140625,1691.551220703125
G1046,Mali,G1046,Banankoro,-8.65,11.65,,,,,,,,,,
G1047,Chad,G1047,Mailao,15.75,10.85,,,,,,,,,,
G1048,Mali,G1048,Selingue,-8.15,11.85,,,,,,,,,,
G1049,Mali,G1049,Pankourou,-6.55,11.35,,,,,,,,,,
G1050,Mali,G1050,Bougouni,-7.35,11.45,,,,,,,,,,
G1051,Nigeria,G1051,Yidere Bode,4.15,11.35,,,,,,,,,,
G1053,Ethiopia,G1053,Adaitu,40.95,11.35,1434.8984375,1854.3209228515625,2217.030802408854,2398.3857421875,891.4579223632812,968.9887573242188,1006.2394653320312,1171.7052001953125,1585.7854980468753,1870.1019775390623
G1055,Ghana,G1055,Yarugu,-0.35,11.05,,,,,,,,,,
G1056,Ghana,G1056,Nangodi,-0.55,10.65,,,,,,,,,,
