ID,Country,station,location,lon,lat,rl2,rl5,rl10,rl20,Q10,Q20,Q30,Q50,Q80,Q90
G1045,Ethiopia,G1045,Tendaho,40.95,11.75,1403.3258056640625,1832.59033203125,2203.8116861979165,2389.42236328125,922.6076782226563,938.5149169921875,995.7293334960938,1088.762451171875,1432.769140625,1691.551220703125
G1053,Ethiopia,G1053,Adaitu,40.95,11.35,1434.8984375,1854.3209228515625,2217.030802408854,2398.3857421875,891.4579223632812,968.9887573242188,1006.2394653320312,1171.7052001953125,1585.7854980468753,1870.1019775390623
G1067,Ethiopia,G1067,Melka Sedi,40.15,9.15,1357.0552978515625,1614.9195556640625,1837.9166259765625,1949.4151611328125,933.417431640625,993.5382324218749,1016.7693115234374,1167.7474365234375,1376.22578125,1511.299609375
G1074,Ethiopia,G1074,Metahara,39.95,8.85,671.7372436523438,811.9560546875,933.2151285807291,993.8446655273438,495.948828125,499.2706115722656,541.6670043945312,587.9407958984375,711.0654907226562,825.9716064453125
G1603,Ethiopia,G1603,Gambella,34.95,8.25,2075.628662109375,2574.728759765625,3006.343017578125,3222.150146484375,1301.50791015625,1325.52060546875,1386.91630859375,1682.203857421875,2244.362939453125,2422.6116210937503
G1901,Ethiopia,G1901,Omo River Delta,36.05,4.85,5345.4423828125,5912.47119140625,6402.82861328125,6648.00732421875,4406.3244140625,4582.47236328125,4782.3390625,5141.4892578125,5606.6751953125,5660.32177734375
G1902,Ethiopia,G1902,Na,42.05,4.75,443.921875,598.326171875,731.8526204427083,798.6158447265625,280.4273986816406,306.6284118652344,354.2648071289062,402.79656982421875,488.5028930664063,638.2004638671875
G1904,Ethiopia,G1904,Na,44.85,5.05,3038.344970703125,3505.65869140625,3909.7843424479165,4111.84716796875,2029.235791015625,2165.685888671875,2251.8331054687496,2687.5654296875,3289.153125,3535.9640625
G1905,Ethiopia,G1905,Na,44.45,5.45,3057.921630859375,3530.08251953125,3938.4002278645835,4142.55908203125,2094.4224121093753,2170.078759765625,2296.85029296875,2679.459228515625,3288.8853515625,3577.4691406250004
G1906,Ethiopia,G1906,Na,44.15,5.55,3081.83642578125,3558.365234375,3970.4599609375,4176.50732421875,2143.06728515625,2154.85791015625,2305.509521484375,2657.480712890625,3294.06796875,3611.9744140625
