district,station
Amuria,G5196
Amuria,G6106
Bukedea,G5200
Butaleja,F0032
Gulu,F0037
Kaabong,F0042
Kamwenge,F0036
Kanungu,F0038
Katakwi,F0034
Katakwi,G5196
Katakwi,G5200
Katakwi,G6106
Kotido,F0042
Kumi,G5200
Mbarara,F0035
Napak,G6106
Ntoroko,F0040
Serere,F0034
Soroti,F0034
Tororo,F0032
