ADM0_EN,ADM1_EN,ADM1_PCODE,overlap(%),area
Uganda,SIRONKO,UG215,3.3972,342660718.300
Uganda,SOROTI,UG211,100.0000,1559860623.000
Uganda,SOROTI,UG211,100.0000,5497666573.000
Uganda,SOROTI,UG211,100.0000,6641943977.000
Uganda,MOYO,UG309,34.2351,7541828258.000
Uganda,MOYO,UG309,11.3296,266132786.900
Uganda,SOROTI,UG211,26.4398,806492438.300
Uganda,SOROTI,UG211,10.4540,309165926.200
